angle [deg]	counting rate [cps]
35.00	108.77
35.20	111.55
35.30	103.89
35.40	108.22
35.50	112.05
35.60	109.48
35.70	104.09
35.80	103.06
35.90	109.56
36.00	112.46
36.10	111.91
36.20	113.31
36.30	112.96
36.40	109.63
36.50	103.04
36.60	96.88
36.70	103.64
36.80	101.53
36.90	92.31
37.00	102.20
37.10	106.30
37.20	105.22
37.30	109.43
37.40	107.18
37.50	97.05
37.60	89.49
37.70	93.26
37.80	95.17
37.90	97.79
38.00	102.89
38.10	100.10
38.20	95.95
38.30	96.14
38.40	101.99
38.50	99.98
38.60	90.56
38.70	88.55
38.80	93.10
38.90	89.59
39.00	89.29
39.10	93.45
39.20	86.44
39.30	89.28
39.40	95.02
39.50	97.16
39.60	94.69
39.70	90.15
39.80	92.63
39.90	90.10
40.00	75.56
40.10	72.81
40.20	85.46
40.30	87.79
40.40	85.42
40.50	84.34
40.60	86.79
40.70	89.80
40.80	95.04
40.90	128.40
41.00	211.97
41.10	317.68
41.20	422.78
41.30	568.71
41.40	734.79
41.50	851.51
41.60	900.63
41.70	886.01
41.80	853.37
41.90	805.72
42.00	730.26
42.10	611.24
42.20	464.68
42.30	371.14
42.40	324.52
42.50	270.21
42.60	222.53
42.70	185.34
42.80	151.67
42.90	136.03
43.00	129.86
43.10	118.47
43.20	117.18
43.30	112.49
43.40	106.61
43.50	108.71
43.60	105.83
43.70	107.80
43.80	107.19
43.90	104.53
44.00	97.41
44.10	98.61
44.20	100.07
44.30	92.36
44.40	93.74
44.50	97.01
44.60	97.14
44.70	98.89
44.80	103.69
44.90	101.47
45.00	96.26
45.10	104.94
45.20	105.33
45.30	111.82
45.40	127.65
45.50	152.49
45.60	244.71
45.70	594.06
45.80	1120.23
45.90	1574.73
46.00	1939.91
46.10	2189.34
46.20	2300.51
46.30	2326.91
46.40	2297.36
46.50	2166.21
46.60	1936.07
46.70	1569.61
46.80	1209.13
46.90	931.57
47.00	670.41
47.10	514.68
47.20	422.10
47.30	323.67
47.40	211.76
47.50	123.85
47.60	92.66
47.70	91.16
47.80	90.22
47.90	78.89
48.00	75.02
48.10	76.71
48.20	77.57
48.30	77.59
48.40	77.80
48.50	72.66
48.60	69.09
48.70	72.14
48.80	63.13
48.90	62.03
49.00	68.29
