angle [deg]	counting rate [cps]
20.00	17.21
20.50	14.21
21.00	25.36
21.50	15.09
22.00	14.12
22.50	18.95
23.00	15.03
23.50	13.04
24.00	10.11
24.50	12.93
25.00	17.95
25.50	21.08
26.00	16.08
26.50	15.95
27.00	12.09
27.50	28.31
28.00	10.06
28.50	17.09
29.00	15.84
29.50	58.20
30.00	139.07
30.50	65.72
31.00	19.47
31.50	20.10
32.00	25.16
32.50	44.10
33.00	383.04
33.50	512.09
34.00	39.46
34.50	12.00
35.00	9.10
35.50	8.95
36.00	10.95
36.50	8.91
37.00	7.94
37.50	11.00
38.00	9.09
38.50	10.01
39.00	8.96
39.50	7.97
40.00	6.92
40.50	7.16
41.00	7.96
41.50	10.02
42.00	9.94
42.50	14.97
43.00	10.00
43.50	6.05
44.00	6.96
44.50	12.11
45.00	4.01
45.50	7.98
46.00	8.01
46.50	4.98
47.00	7.01
47.50	7.98
48.00	9.08
48.50	6.94
49.00	9.01
49.50	1.99
50.00	4.97
50.50	5.99
51.00	2.01
51.50	7.94
52.00	5.95
52.50	11.06
53.00	2.96
53.50	4.96
54.00	6.00
54.50	7.05
55.00	4.01
55.50	4.06
56.00	4.97
56.50	0.00
57.00	2.00
57.50	6.01
58.00	4.98
58.50	10.07
59.00	4.94
59.50	3.98
60.00	9.96
60.50	39.67
61.00	54.87
61.50	12.13
62.00	6.05
62.50	5.98
63.00	2.98
63.50	5.98
64.00	7.99
64.50	3.96
65.00	4.00
65.50	6.02
66.00	2.98
66.50	6.06
67.00	16.14
67.50	83.93
68.00	230.23
68.50	121.42
69.00	14.06
69.50	6.99
70.00	8.02
70.50	6.97
71.00	8.04
71.50	4.97
72.00	5.94
72.50	1.99
73.00	0.99
73.50	4.98
74.00	3.02
74.50	3.00
75.00	0.00
75.50	7.00
76.00	6.04
76.50	7.04
77.00	1.00
77.50	4.01
78.00	3.02
78.50	5.98
79.00	8.10
79.50	1.00
80.00	2.00
80.50	3.02
81.00	3.97
81.50	4.96
82.00	3.97
82.50	6.03
83.00	0.00
83.50	1.01
84.00	2.99
84.50	2.99
85.00	5.05
85.50	2.00
86.00	2.01
86.50	2.00
87.00	2.01
87.50	1.00
88.00	6.04
88.50	6.00
89.00	1.00
89.50	0.00
90.00	3.02
90.50	3.98
91.00	3.95
91.50	1.99
92.00	3.01
92.50	0.99
93.00	1.99
93.50	1.00
94.00	2.00
94.50	3.99
95.00	3.97
95.50	3.01
96.00	2.98
96.50	10.94
97.00	7.01
97.50	8.94
98.00	2.00
98.50	4.99
99.00	7.99
99.50	1.99
100.00	2.99
100.50	7.00
101.00	3.97
101.50	0.99
102.00	7.97
102.50	7.92
103.00	1.99
103.50	1.97
104.00	5.98
104.50	2.99
105.00	3.01
105.50	0.99
106.00	0.98
106.50	4.01
107.00	0.99
107.50	3.97
108.00	6.04
108.50	2.98
109.00	4.97
109.50	6.07
110.00	2.97
110.50	5.00
111.00	12.06
111.50	59.87
112.00	69.57
112.50	31.98
113.00	2.99
113.50	3.00
114.00	3.99
114.50	2.00
115.00	0.00
