angle [deg]	counting rate [cps]
20.00	16.96
20.20	11.48
20.40	15.62
20.60	14.38
20.80	13.52
21.00	16.53
21.20	16.70
21.40	15.02
21.60	16.84
21.80	14.51
22.00	12.78
22.20	12.50
22.40	11.71
22.60	18.61
22.80	18.39
23.00	14.86
23.20	10.60
23.40	10.23
23.60	15.00
23.80	15.81
24.00	14.02
24.20	13.53
24.40	12.75
24.60	13.65
24.80	9.17
25.00	9.38
25.20	16.85
25.40	10.03
25.60	9.26
25.80	7.34
26.00	11.76
26.20	13.08
26.40	11.47
26.60	12.88
26.80	10.47
27.00	12.48
27.20	15.73
27.40	13.80
27.60	10.34
27.80	10.99
28.00	11.51
28.20	12.62
28.40	9.65
28.60	11.14
28.80	9.81
29.00	10.86
29.20	7.75
29.40	7.64
29.60	10.29
29.80	12.90
30.00	11.62
30.20	11.35
30.40	11.46
30.60	9.57
30.80	9.37
31.00	11.33
31.20	6.74
31.40	11.42
31.60	10.92
31.80	7.01
32.00	8.60
32.20	7.23
32.40	12.83
32.60	7.46
32.80	7.30
33.00	9.53
33.20	11.53
33.40	9.41
33.60	9.24
33.80	10.20
34.00	9.01
34.20	9.24
34.40	9.12
34.60	7.86
34.80	7.46
35.00	6.78
35.20	12.18
35.40	8.76
35.60	8.52
35.80	7.14
36.00	9.54
36.20	8.28
36.40	7.87
36.60	5.37
36.80	4.51
37.00	6.75
37.20	6.38
37.40	3.75
37.60	8.63
37.80	6.38
38.00	7.60
38.20	8.12
38.40	7.25
38.60	5.13
38.80	6.02
39.00	4.63
39.20	5.51
39.40	8.61
39.60	4.99
39.80	5.74
40.00	6.49
40.20	5.36
40.40	3.50
40.60	5.63
40.80	4.62
41.00	2.88
41.20	5.50
41.40	7.59
41.60	12.91
41.80	11.91
42.00	19.27
42.20	21.28
42.40	23.02
42.60	28.05
42.80	32.53
43.00	15.12
43.20	7.48
43.40	10.00
43.60	8.00
43.80	5.87
44.00	7.73
44.20	6.99
44.40	6.86
44.60	7.36
44.80	6.37
45.00	4.11
45.20	2.36
45.40	3.49
45.60	3.61
45.80	4.99
46.00	12.29
46.20	25.99
46.40	35.62
46.60	59.15
46.80	81.53
47.00	103.44
47.20	113.50
47.40	99.32
47.60	66.48
47.80	30.17
48.00	17.71
48.20	7.14
48.40	6.24
48.60	3.62
48.80	4.00
49.00	3.01
49.20	3.99
49.40	3.37
49.60	5.63
49.80	4.25
50.00	3.88
50.20	7.03
50.40	4.64
50.60	2.00
50.80	2.99
51.00	1.25
51.20	3.50
51.40	3.36
51.60	3.75
51.80	4.73
52.00	5.37
52.20	2.87
52.40	2.37
52.60	5.11
52.80	2.25
53.00	1.75
53.20	2.37
53.40	3.24
53.60	2.37
53.80	4.63
54.00	3.25
54.20	4.36
54.40	1.99
54.60	3.62
54.80	5.23
55.00	4.00
55.20	2.38
55.40	2.75
55.60	4.13
55.80	3.73
56.00	1.62
56.20	1.37
56.40	2.62
56.60	2.62
56.80	2.87
57.00	5.62
57.20	2.75
57.40	1.50
57.60	0.74
57.80	1.24
58.00	3.00
58.20	3.86
58.40	1.75
58.60	1.75
58.80	2.74
59.00	2.61
59.20	1.74
59.40	0.37
59.60	1.13
59.80	1.88
60.00	3.50
60.20	1.75
60.40	1.00
60.60	2.13
60.80	2.51
61.00	2.12
61.20	3.50
61.40	2.13
61.60	2.61
61.80	2.62
62.00	1.37
62.20	0.62
62.40	2.38
62.60	1.88
62.80	2.24
63.00	2.12
63.20	1.62
63.40	1.88
63.60	0.50
63.80	0.38
64.00	0.87
64.20	2.49
64.40	1.12
64.60	2.00
64.80	3.99
65.00	3.75
65.20	2.36
65.40	2.36
65.60	2.12
65.80	2.37
66.00	2.12
66.20	0.87
66.40	1.62
66.60	0.50
66.80	2.98
67.00	2.49
67.20	1.25
67.40	1.75
67.60	1.63
67.80	0.75
68.00	0.88
68.20	1.74
68.40	1.63
68.60	1.50
68.80	1.49
69.00	2.99
69.20	0.87
69.40	2.63
69.60	3.11
69.80	2.24
70.00	2.00
70.20	0.87
70.40	1.24
70.60	2.62
70.80	1.13
71.00	0.49
71.20	0.87
71.40	0.99
71.60	0.25
71.80	1.12
72.00	2.25
72.20	2.49
72.40	1.74
72.60	0.37
72.80	0.00
73.00	0.75
73.20	1.74
73.40	2.75
73.60	1.50
73.80	1.38
74.00	0.74
74.20	1.24
74.40	1.49
74.60	0.75
74.80	1.62
75.00	1.61
75.20	1.86
75.40	0.87
75.60	0.49
75.80	1.62
76.00	0.50
76.20	1.12
76.40	2.26
76.60	1.00
76.80	2.37
77.00	1.12
77.20	1.62
77.40	2.74
77.60	1.49
77.80	0.99
78.00	3.61
78.20	2.62
78.40	1.99
78.60	0.50
78.80	0.37
79.00	1.62
79.20	0.50
79.40	1.12
79.60	1.50
79.80	1.49
80.00	2.99
80.20	2.00
