angle [deg]	counting rate [cps]
109.00	3.99
109.20	4.24
109.30	5.24
109.40	5.48
109.50	5.49
109.60	4.51
109.70	3.01
109.80	2.25
109.90	2.00
110.00	2.00
110.10	2.50
110.20	3.74
110.30	4.49
110.40	2.74
110.50	2.49
110.60	3.74
110.70	6.01
110.80	6.02
110.90	4.74
111.00	9.21
111.10	14.99
111.20	20.30
111.30	34.23
111.40	47.52
111.50	54.10
111.60	56.70
111.70	54.73
111.80	71.73
111.90	85.67
112.00	70.53
112.10	64.68
112.20	66.03
112.30	53.69
112.40	43.16
112.50	34.64
112.60	20.76
112.70	13.72
112.80	14.74
112.90	11.50
113.00	6.27
113.10	5.74
113.20	6.22
113.30	4.22
113.40	3.49
113.50	4.26
113.60	4.26
113.70	2.99
113.80	2.99
113.90	3.25
114.00	3.74
114.10	4.24
114.20	3.25
114.30	3.50
114.40	3.75
114.50	4.48
114.60	4.47
114.70	3.74
114.80	4.50
114.90	5.01
115.00	0.00
