angle [deg]	counting rate [cps]
91.90	9.56
92.00	8.00
92.10	7.01
92.20	9.49
92.30	6.47
92.40	7.50
92.50	12.02
92.60	14.52
92.70	7.49
92.80	6.03
92.90	10.48
93.00	8.01
93.10	6.50
93.20	5.51
93.30	3.51
93.40	7.48
93.50	7.55
93.60	6.54
93.70	11.03
93.80	5.49
93.90	9.96
94.00	9.98
94.10	5.49
94.20	8.45
94.30	8.05
