angle [deg]	counting rate [cps]
20.00	156.90
20.50	143.17
21.00	142.37
21.50	158.07
22.00	149.69
22.50	159.91
23.00	139.05
23.50	183.80
24.00	143.59
24.50	143.17
25.00	158.00
25.50	143.14
26.00	173.71
26.50	172.17
27.00	168.38
27.50	145.16
28.00	170.55
28.50	152.84
29.00	136.42
29.50	152.09
30.00	139.94
30.50	133.71
31.00	137.13
31.50	134.81
32.00	124.05
32.50	141.11
33.00	145.52
33.50	132.68
34.00	125.67
34.50	131.12
35.00	121.48
35.50	110.68
36.00	103.16
36.50	105.29
37.00	114.90
37.50	87.13
38.00	86.48
38.50	96.75
39.00	76.45
39.50	77.72
40.00	80.05
40.50	97.06
41.00	291.43
41.50	880.99
42.00	648.69
42.50	228.03
43.00	135.23
43.50	114.42
44.00	85.85
44.50	115.08
45.00	106.38
45.50	236.47
46.00	2115.35
46.50	1976.76
47.00	570.31
47.50	97.61
48.00	79.15
48.50	80.04
49.00	77.97
49.50	57.94
50.00	61.26
50.50	45.82
51.00	55.14
51.50	59.61
52.00	56.49
52.50	37.20
53.00	38.12
53.50	37.05
54.00	41.32
54.50	34.97
55.00	45.31
55.50	43.94
56.00	36.88
56.50	27.06
57.00	32.39
57.50	31.36
58.00	39.07
58.50	38.00
59.00	37.15
59.50	36.06
60.00	40.62
60.50	24.96
61.00	38.10
61.50	20.95
62.00	31.94
62.50	29.02
63.00	19.21
63.50	22.44
64.00	26.35
64.50	38.51
65.00	22.89
65.50	25.01
66.00	30.15
66.50	35.90
67.00	19.98
67.50	26.87
68.00	22.87
68.50	24.82
69.00	20.08
69.50	23.44
70.00	16.96
70.50	19.77
71.00	20.07
71.50	17.96
72.00	21.96
72.50	18.86
73.00	18.89
73.50	19.30
74.00	28.50
74.50	15.90
75.00	21.95
75.50	19.86
76.00	21.80
76.50	22.95
77.00	20.18
77.50	16.92
78.00	28.09
78.50	21.08
79.00	18.98
79.50	24.13
80.00	16.07
80.50	21.95
81.00	20.01
81.50	26.21
82.00	14.10
82.50	19.89
83.00	20.05
83.50	19.12
84.00	26.03
84.50	21.93
85.00	18.12
85.50	34.38
86.00	14.91
86.50	20.29
87.00	22.32
87.50	22.04
88.00	17.96
88.50	86.02
89.00	106.17
89.50	52.66
90.00	16.94
90.50	24.12
91.00	18.07
91.50	19.04
92.00	21.90
92.50	18.94
93.00	25.73
93.50	21.27
94.00	27.97
94.50	18.83
95.00	22.77
95.50	28.52
96.00	25.23
96.50	24.00
97.00	16.05
97.50	18.19
98.00	20.40
98.50	14.12
99.00	25.22
99.50	28.19
100.00	25.58
100.50	49.99
101.00	316.25
101.50	459.22
102.00	218.77
102.50	55.67
103.00	21.17
103.50	19.12
104.00	25.78
104.50	19.83
105.00	9.92
105.50	19.84
106.00	23.79
106.50	22.06
107.00	15.88
107.50	13.84
108.00	13.17
108.50	16.93
109.00	6.94
109.50	14.05
110.00	20.94
110.50	20.23
111.00	31.98
111.50	20.35
112.00	23.08
112.50	17.07
113.00	11.92
113.50	15.97
114.00	15.16
114.50	26.04
115.00	111.22
