angle [deg]	counting rate [cps]
60.00	11.57
60.20	14.53
60.30	20.77
60.40	28.04
60.50	36.26
60.60	42.45
60.70	48.91
60.80	54.57
60.90	55.23
61.00	47.06
61.10	39.80
61.20	39.63
61.30	33.58
61.40	24.54
61.50	17.49
61.60	13.06
61.70	10.56
61.80	8.48
61.90	7.98
62.00	6.74
62.10	6.25
62.20	5.50
62.30	5.50
62.40	7.27
62.50	6.27
62.60	5.47
62.70	7.71
62.80	9.22
62.90	7.23
63.00	5.98
63.10	7.74
63.20	6.75
63.30	5.75
63.40	7.26
63.50	5.75
63.60	6.50
63.70	6.52
63.80	5.01
63.90	5.50
64.00	4.50
64.10	4.99
64.20	5.48
64.30	5.72
64.40	6.97
64.50	6.48
64.60	5.73
64.70	6.75
64.80	6.76
64.90	6.98
65.00	7.99
65.10	8.01
65.20	6.01
65.30	7.53
65.40	9.78
65.50	6.99
65.60	5.48
65.70	8.79
65.80	8.54
65.90	6.74
66.00	8.71
66.10	5.72
66.20	4.23
66.30	6.99
66.40	10.26
66.50	11.50
66.60	9.23
66.70	7.26
66.80	6.51
66.90	9.00
67.00	11.75
67.10	17.27
67.20	23.51
67.30	27.49
67.40	37.36
67.50	63.73
67.60	94.72
67.70	130.15
67.80	169.23
67.90	193.42
68.00	213.30
68.10	230.25
68.20	235.09
68.30	202.08
68.40	141.63
68.50	113.79
68.60	96.64
68.70	67.67
68.80	37.96
68.90	16.12
69.00	10.26
69.10	8.99
69.20	7.99
69.30	6.98
69.40	7.24
69.50	6.25
69.60	5.75
69.70	5.25
69.80	6.49
69.90	6.50
70.00	0.00
