angle [deg]	counting rate [cps]
35.00	6.97
35.20	8.46
35.30	7.74
35.40	7.01
35.50	4.76
35.60	6.79
35.70	9.30
35.80	9.52
35.90	9.26
36.00	9.26
36.10	8.49
36.20	7.23
36.30	7.99
36.40	7.50
36.50	4.49
36.60	6.23
36.70	8.71
36.80	8.73
36.90	8.99
37.00	7.75
37.10	6.26
37.20	6.00
37.30	4.98
37.40	5.74
37.50	6.75
37.60	8.48
37.70	8.22
37.80	6.98
37.90	6.49
38.00	4.25
38.10	6.51
38.20	9.51
38.30	7.49
38.40	5.98
38.50	7.23
38.60	6.98
38.70	5.98
38.80	4.99
38.90	4.50
39.00	6.01
39.10	6.53
39.20	5.01
39.30	5.24
39.40	5.49
39.50	6.26
39.60	7.78
39.70	7.51
39.80	5.74
39.90	3.49
40.00	2.76
40.10	3.76
40.20	3.50
40.30	5.98
40.40	7.72
40.50	6.73
40.60	5.99
40.70	6.26
40.80	6.26
40.90	3.74
41.00	3.75
41.10	4.50
41.20	4.24
41.30	4.76
41.40	4.25
41.50	9.74
41.60	13.50
41.70	10.74
41.80	13.45
41.90	15.45
42.00	16.52
42.10	19.68
42.20	21.70
42.30	22.89
42.40	25.52
42.50	27.25
42.60	26.60
42.70	25.30
42.80	25.10
42.90	22.08
43.00	17.99
43.10	13.74
43.20	8.98
43.30	6.99
43.40	5.97
43.50	6.48
43.60	7.26
43.70	5.25
43.80	5.99
43.90	6.75
44.00	5.73
44.10	4.98
44.20	4.75
44.30	5.49
44.40	2.99
44.50	3.25
44.60	4.50
44.70	5.24
44.80	6.48
44.90	5.23
45.00	4.74
45.10	4.50
45.20	3.75
45.30	3.99
45.40	5.74
45.50	7.74
45.60	6.21
45.70	5.47
45.80	5.74
45.90	6.00
46.00	8.50
46.10	15.31
46.20	30.20
46.30	36.93
46.40	37.35
46.50	44.38
46.60	60.52
46.70	76.11
46.80	86.90
46.90	89.45
47.00	99.75
47.10	115.08
47.20	112.04
47.30	102.76
47.40	98.99
47.50	90.24
47.60	70.56
47.70	49.52
47.80	29.74
47.90	16.72
48.00	11.74
48.10	10.01
48.20	6.74
48.30	4.24
48.40	4.74
48.50	4.75
48.60	2.51
48.70	2.75
48.80	4.76
48.90	5.51
49.00	3.24
49.10	3.23
49.20	4.24
49.30	4.76
49.40	4.75
49.50	3.49
49.60	3.24
49.70	3.49
49.80	3.51
49.90	3.25
50.00	3.24
50.10	5.48
50.20	4.99
50.30	2.49
50.40	2.75
50.50	1.75
50.60	1.50
50.70	2.00
50.80	3.49
50.90	5.00
51.00	4.49
51.10	3.74
51.20	3.00
51.30	1.75
51.40	0.99
51.50	1.99
51.60	2.74
51.70	3.25
51.80	3.49
51.90	3.99
52.00	0.00
