Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.9171e+01,-0.808,-0.824,-18.2,-18.4
-1.9163e+01,-0.808,-0.792,-18.2,-18
-1.9155e+01,-0.8,-0.816,-18.2,-18.4
-1.9147e+01,-0.8,-0.784,-18.2,-18
-1.9140e+01,-0.792,-0.808,-18.2,-18.4
-1.9132e+01,-0.792,-0.776,-18.2,-18
-1.9124e+01,-0.792,-0.8,-18.2,-18.4
-1.9117e+01,-0.784,-0.776,-18.2,-18
-1.9109e+01,-0.784,-0.792,-18.2,-18.4
-1.9101e+01,-0.776,-0.768,-18.2,-18
-1.9094e+01,-0.776,-0.792,-18.2,-18.4
-1.9086e+01,-0.776,-0.768,-18.2,-18
-1.9078e+01,-0.776,-0.784,-18.2,-18.4
-1.9071e+01,-0.768,-0.76,-18.2,-18
-1.9063e+01,-0.768,-0.784,-18.2,-18.4
-1.9055e+01,-0.768,-0.752,-18.2,-18
-1.9048e+01,-0.76,-0.776,-18.2,-18.4
-1.9040e+01,-0.76,-0.744,-18.2,-18
-1.9032e+01,-0.76,-0.768,-18.2,-18.4
-1.9025e+01,-0.752,-0.744,-18.2,-18
-1.9017e+01,-0.752,-0.768,-18.2,-18.4
-1.9009e+01,-0.752,-0.736,-18.2,-18
-1.9002e+01,-0.744,-0.76,-18.2,-18.4
-1.8994e+01,-0.744,-0.736,-18.2,-18
-1.8986e+01,-0.744,-0.76,-18.2,-18.4
-1.8978e+01,-0.744,-0.728,-18.2,-18
-1.8971e+01,-0.736,-0.752,-18.2,-18.4
-1.8963e+01,-0.736,-0.728,-18.2,-18
-1.8955e+01,-0.736,-0.744,-18.2,-18.4
-1.8948e+01,-0.736,-0.72,-18.2,-18
-1.8940e+01,-0.728,-0.744,-18.2,-18.4
-1.8932e+01,-0.728,-0.72,-18.2,-18
-1.8925e+01,-0.728,-0.736,-18.2,-18.4
-1.8917e+01,-0.728,-0.712,-18.2,-18
-1.8909e+01,-0.72,-0.736,-18.2,-18.4
-1.8902e+01,-0.72,-0.704,-18.2,-18
-1.8894e+01,-0.72,-0.736,-18.2,-18.4
-1.8886e+01,-0.712,-0.704,-18.2,-18
-1.8879e+01,-0.712,-0.728,-18.2,-18.4
-1.8871e+01,-0.712,-0.696,-18.2,-18
-1.8863e+01,-0.712,-0.72,-18.2,-18.6
-1.8856e+01,-0.712,-0.696,-18.2,-18
-1.8848e+01,-0.704,-0.728,-18.2,-18.4
-1.8840e+01,-0.704,-0.696,-18.4,-18
-1.8833e+01,-0.704,-0.72,-18.4,-18.6
-1.8825e+01,-0.704,-0.688,-18.4,-18
-1.8817e+01,-0.704,-0.712,-18.4,-18.6
-1.8810e+01,-0.696,-0.688,-18.4,-18.2
-1.8802e+01,-0.696,-0.712,-18.4,-18.6
-1.8794e+01,-0.696,-0.688,-18.4,-18.2
-1.8786e+01,-0.696,-0.704,-18.4,-18.6
-1.8779e+01,-0.696,-0.68,-18.4,-18
-1.8771e+01,-0.688,-0.704,-18.4,-18.6
-1.8763e+01,-0.688,-0.68,-18.4,-18.2
-1.8756e+01,-0.688,-0.704,-18.4,-18.6
-1.8748e+01,-0.688,-0.672,-18.4,-18.2
-1.8740e+01,-0.688,-0.696,-18.4,-18.6
-1.8733e+01,-0.68,-0.672,-18.4,-18.2
-1.8725e+01,-0.68,-0.696,-18.4,-18.6
-1.8717e+01,-0.68,-0.672,-18.4,-18.2
-1.8710e+01,-0.68,-0.688,-18.4,-18.6
-1.8702e+01,-0.68,-0.664,-18.4,-18.2
-1.8694e+01,-0.68,-0.688,-18.4,-18.6
-1.8687e+01,-0.672,-0.664,-18.4,-18.2
-1.8679e+01,-0.672,-0.688,-18.4,-18.6
-1.8671e+01,-0.672,-0.664,-18.4,-18.2
-1.8664e+01,-0.672,-0.68,-18.4,-18.6
-1.8656e+01,-0.672,-0.656,-18.4,-18.2
-1.8648e+01,-0.672,-0.68,-18.4,-18.6
-1.8641e+01,-0.664,-0.656,-18.4,-18.2
-1.8633e+01,-0.664,-0.68,-18.4,-18.6
-1.8625e+01,-0.664,-0.656,-18.4,-18.2
-1.8618e+01,-0.664,-0.672,-18.4,-18.6
-1.8610e+01,-0.664,-0.656,-18.4,-18.2
-1.8602e+01,-0.664,-0.672,-18.4,-18.6
-1.8594e+01,-0.664,-0.648,-18.4,-18.2
-1.8587e+01,-0.656,-0.672,-18.4,-18.6
-1.8579e+01,-0.656,-0.648,-18.4,-18.2
-1.8571e+01,-0.656,-0.672,-18.4,-18.6
-1.8564e+01,-0.656,-0.648,-18.4,-18.2
-1.8556e+01,-0.656,-0.672,-18.4,-18.6
-1.8548e+01,-0.656,-0.64,-18.4,-18.2
-1.8541e+01,-0.656,-0.664,-18.4,-18.6
-1.8533e+01,-0.656,-0.64,-18.4,-18.2
-1.8525e+01,-0.656,-0.664,-18.4,-18.6
