Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,-0.204,,-21,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.9163e+01,-0.648,-0.632,5.2,5.4
-1.9155e+01,-0.648,-0.664,5.2,4.8
-1.9147e+01,-0.648,-0.64,5.2,5.4
-1.9140e+01,-0.648,-0.664,5.2,4.8
-1.9132e+01,-0.656,-0.64,5.2,5.4
-1.9124e+01,-0.656,-0.664,5,4.8
-1.9117e+01,-0.656,-0.64,5,5.4
-1.9109e+01,-0.656,-0.664,5,4.8
-1.9101e+01,-0.656,-0.64,5,5.4
-1.9094e+01,-0.656,-0.664,5,4.8
-1.9086e+01,-0.656,-0.648,5,5.4
-1.9078e+01,-0.656,-0.664,5,4.8
-1.9071e+01,-0.656,-0.64,5,5.4
-1.9063e+01,-0.648,-0.664,5,4.8
-1.9055e+01,-0.648,-0.64,5,5.2
-1.9048e+01,-0.648,-0.664,5,4.8
-1.9040e+01,-0.648,-0.64,5,5.2
-1.9032e+01,-0.648,-0.656,5,4.8
-1.9025e+01,-0.64,-0.632,5,5.2
-1.9017e+01,-0.64,-0.656,5,4.8
-1.9009e+01,-0.64,-0.632,5,5.2
-1.9002e+01,-0.64,-0.656,5,4.8
-1.8994e+01,-0.632,-0.624,5,5.2
-1.8986e+01,-0.632,-0.648,5,4.8
-1.8978e+01,-0.632,-0.616,5,5.2
-1.8971e+01,-0.624,-0.64,5,4.6
-1.8963e+01,-0.624,-0.608,5,5.2
-1.8955e+01,-0.616,-0.632,5,4.6
-1.8948e+01,-0.616,-0.6,5,5.2
-1.8940e+01,-0.608,-0.624,5,4.6
-1.8932e+01,-0.608,-0.592,5,5.2
-1.8925e+01,-0.6,-0.616,4.8,4.6
-1.8917e+01,-0.6,-0.584,4.8,5.2
-1.8909e+01,-0.592,-0.608,4.8,4.6
-1.8902e+01,-0.592,-0.576,4.8,5.2
-1.8894e+01,-0.584,-0.6,4.8,4.6
-1.8886e+01,-0.576,-0.568,4.8,5.2
-1.8879e+01,-0.576,-0.592,4.8,4.6
-1.8871e+01,-0.568,-0.552,4.8,5
-1.8863e+01,-0.568,-0.584,4.8,4.6
-1.8856e+01,-0.56,-0.544,4.8,5
-1.8848e+01,-0.56,-0.576,4.8,4.6
-1.8840e+01,-0.552,-0.536,4.8,5
-1.8833e+01,-0.544,-0.568,4.8,4.6
-1.8825e+01,-0.544,-0.528,4.8,5
-1.8817e+01,-0.536,-0.56,4.8,4.6
-1.8810e+01,-0.536,-0.52,4.8,5
-1.8802e+01,-0.528,-0.552,4.8,4.6
-1.8794e+01,-0.52,-0.512,4.8,5
-1.8786e+01,-0.52,-0.536,4.8,4.6
-1.8779e+01,-0.512,-0.496,4.8,5
-1.8771e+01,-0.504,-0.528,4.8,4.6
-1.8763e+01,-0.504,-0.488,4.8,5
-1.8756e+01,-0.496,-0.512,4.8,4.6
-1.8748e+01,-0.496,-0.48,4.8,5
-1.8740e+01,-0.488,-0.504,4.8,4.4
-1.8733e+01,-0.48,-0.472,4.8,5
-1.8725e+01,-0.48,-0.496,4.6,4.4
-1.8717e+01,-0.472,-0.464,4.6,5
-1.8710e+01,-0.472,-0.488,4.6,4.4
-1.8702e+01,-0.464,-0.456,4.6,5
-1.8694e+01,-0.464,-0.48,4.6,4.4
-1.8687e+01,-0.456,-0.44,4.6,4.8
-1.8679e+01,-0.456,-0.472,4.6,4.4
-1.8671e+01,-0.448,-0.432,4.6,4.8
-1.8664e+01,-0.448,-0.464,4.6,4.4
-1.8656e+01,-0.44,-0.424,4.6,4.8
-1.8648e+01,-0.432,-0.456,4.6,4.4
-1.8641e+01,-0.432,-0.416,4.6,4.8
-1.8633e+01,-0.424,-0.448,4.6,4.4
-1.8625e+01,-0.424,-0.408,4.6,4.8
-1.8618e+01,-0.416,-0.44,4.6,4.4
-1.8610e+01,-0.416,-0.4,4.6,4.8
-1.8602e+01,-0.408,-0.432,4.6,4.4
-1.8594e+01,-0.408,-0.392,4.6,4.8
-1.8587e+01,-0.4,-0.424,4.6,4.4
-1.8579e+01,-0.4,-0.384,4.6,4.8
-1.8571e+01,-0.392,-0.408,4.6,4.4
-1.8564e+01,-0.392,-0.376,4.6,4.8
-1.8556e+01,-0.392,-0.408,4.6,4.2
-1.8548e+01,-0.384,-0.368,4.6,4.8
-1.8541e+01,-0.384,-0.4,4.6,4.2
-1.8533e+01,-0.376,-0.36,4.6,4.8
-1.8525e+01,-0.376,-0.392,4.6,4.2
-1.8518e+01,-0.368,-0.36,4.6,4.8
-1.8510e+01,-0.368,-0.384,4.6,4.2
-1.8502e+01,-0.36,-0.352,4.6,4.8
-1.8495e+01,-0.36,-0.376,4.4,4.2
-1.8487e+01,-0.36,-0.344,4.4,4.8
-1.8479e+01,-0.352,-0.368,4.4,4.2
-1.8472e+01,-0.352,-0.336,4.4,4.6
-1.8464e+01,-0.344,-0.36,4.4,4.2
-1.8456e+01,-0.344,-0.328,4.4,4.6
-1.8449e+01,-0.344,-0.36,4.4,4.2
-1.8441e+01,-0.336,-0.328,4.4,4.6
-1.8433e+01,-0.336,-0.352,4.4,4.2
-1.8425e+01,-0.328,-0.32,4.4,4.6
-1.8418e+01,-0.328,-0.344,4.4,4.2
-1.8410e+01,-0.328,-0.312,4.4,4.6
-1.8402e+01,-0.32,-0.336,4.4,4.2
-1.8395e+01,-0.32,-0.304,4.4,4.6
-1.8387e+01,-0.312,-0.328,4.4,4.2
-1.8379e+01,-0.312,-0.296,4.4,4.6
-1.8372e+01,-0.304,-0.328,4.4,4.2
-1.8364e+01,-0.304,-0.296,4.4,4.6
-1.8356e+01,-0.304,-0.32,4.4,4.2
-1.8349e+01,-0.304,-0.288,4.4,4.6
-1.8341e+01,-0.296,-0.312,4.4,4
-1.8333e+01,-0.296,-0.28,4.4,4.6
-1.8326e+01,-0.296,-0.304,4.4,4
-1.8318e+01,-0.288,-0.28,4.4,4.6
-1.8310e+01,-0.288,-0.304,4.2,4
-1.8303e+01,-0.288,-0.272,4.2,4.6
-1.8295e+01,-0.28,-0.296,4.2,4
-1.8287e+01,-0.28,-0.272,4.2,4.6
-1.8280e+01,-0.28,-0.296,4.2,4
-1.8272e+01,-0.272,-0.264,4.2,4.6
-1.8264e+01,-0.272,-0.288,4.2,4
-1.8257e+01,-0.272,-0.256,4.2,4.4
-1.8249e+01,-0.264,-0.28,4.2,4
-1.8241e+01,-0.264,-0.256,4.2,4.4
-1.8233e+01,-0.264,-0.28,4.2,4
-1.8226e+01,-0.264,-0.248,4.2,4.4
-1.8218e+01,-0.256,-0.272,4.2,4
-1.8210e+01,-0.256,-0.24,4.2,4.4
-1.8203e+01,-0.256,-0.272,4.2,4
-1.8195e+01,-0.256,-0.24,4.2,4.4
-1.8187e+01,-0.248,-0.264,4.2,4
-1.8180e+01,-0.248,-0.232,4.2,4.4
-1.8172e+01,-0.248,-0.256,4.2,4
-1.8164e+01,-0.248,-0.232,4.2,4.4
-1.8157e+01,-0.24,-0.256,4.2,3.8
-1.8149e+01,-0.24,-0.232,4.2,4.4
-1.8141e+01,-0.24,-0.248,4.2,3.8
-1.8134e+01,-0.24,-0.224,4.2,4.4
-1.8126e+01,-0.232,-0.248,4.2,3.8
-1.8118e+01,-0.232,-0.224,4,4.4
-1.8111e+01,-0.232,-0.24,4,3.8
-1.8103e+01,-0.232,-0.216,4,4.4
-1.8095e+01,-0.232,-0.24,4,3.8
-1.8088e+01,-0.224,-0.216,4,4.4
-1.8080e+01,-0.224,-0.24,4,3.8
-1.8072e+01,-0.224,-0.208,4,4.4
-1.8065e+01,-0.224,-0.232,4,3.8
-1.8057e+01,-0.216,-0.2,4,4.2
-1.8049e+01,-0.216,-0.232,4,3.8
-1.8041e+01,-0.216,-0.2,4,4.2
-1.8034e+01,-0.216,-0.232,4,3.8
-1.8026e+01,-0.216,-0.2,4,4.2
-1.8018e+01,-0.208,-0.224,4,3.8
-1.8011e+01,-0.208,-0.2,4,4.2
-1.8003e+01,-0.208,-0.224,4,3.8
-1.7995e+01,-0.208,-0.192,4,4.2
-1.7988e+01,-0.208,-0.216,4,3.8
-1.7980e+01,-0.208,-0.192,4,4.2
-1.7972e+01,-0.2,-0.216,4,3.8
-1.7965e+01,-0.2,-0.192,4,4.2
-1.7957e+01,-0.2,-0.216,4,3.6
-1.7949e+01,-0.2,-0.192,4,4.2
-1.7942e+01,-0.2,-0.208,4,3.6
-1.7934e+01,-0.2,-0.192,4,4.2
-1.7926e+01,-0.2,-0.208,4,3.6
-1.7919e+01,-0.2,-0.184,4,4.2
-1.7911e+01,-0.2,-0.208,4,3.6
-1.7903e+01,-0.192,-0.184,3.8,4.2
-1.7896e+01,-0.192,-0.208,3.8,3.6
-1.7888e+01,-0.192,-0.176,3.8,4.2
-1.7880e+01,-0.192,-0.208,3.8,3.6
-1.7873e+01,-0.192,-0.176,3.8,4
-1.7865e+01,-0.192,-0.2,3.8,3.6
-1.7857e+01,-0.192,-0.176,3.8,4
-1.7849e+01,-0.192,-0.2,3.8,3.6
-1.7842e+01,-0.192,-0.176,3.8,4
-1.7834e+01,-0.192,-0.2,3.8,3.6
-1.7826e+01,-0.192,-0.176,3.8,4
-1.7819e+01,-0.184,-0.2,3.8,3.6
-1.7811e+01,-0.184,-0.176,3.8,4
-1.7803e+01,-0.184,-0.2,3.8,3.6
-1.7796e+01,-0.184,-0.176,3.8,4
-1.7788e+01,-0.184,-0.2,3.8,3.6
-1.7780e+01,-0.184,-0.176,3.8,4
-1.7773e+01,-0.184,-0.2,3.8,3.6
-1.7765e+01,-0.184,-0.176,3.8,4
-1.7757e+01,-0.184,-0.2,3.8,3.6
-1.7750e+01,-0.184,-0.168,3.8,4
-1.7742e+01,-0.184,-0.2,3.8,3.6
-1.7734e+01,-0.184,-0.176,3.8,4
-1.7727e+01,-0.184,-0.2,3.8,3.4
-1.7719e+01,-0.184,-0.176,3.8,4
-1.7711e+01,-0.184,-0.2,3.8,3.4
-1.7704e+01,-0.192,-0.176,3.8,4
-1.7696e+01,-0.192,-0.2,3.6,3.4
-1.7688e+01,-0.192,-0.176,3.6,4
-1.7680e+01,-0.192,-0.2,3.6,3.4
-1.7673e+01,-0.192,-0.176,3.6,4
-1.7665e+01,-0.192,-0.2,3.6,3.4
-1.7657e+01,-0.192,-0.184,3.6,3.8
-1.7650e+01,-0.192,-0.2,3.6,3.4
-1.7642e+01,-0.192,-0.184,3.6,3.8
-1.7634e+01,-0.192,-0.208,3.6,3.4
-1.7627e+01,-0.2,-0.184,3.6,3.8
-1.7619e+01,-0.2,-0.208,3.6,3.4
-1.7611e+01,-0.2,-0.184,3.6,3.8
-1.7604e+01,-0.2,-0.208,3.6,3.4
-1.7596e+01,-0.2,-0.192,3.6,3.8
-1.7588e+01,-0.2,-0.208,3.6,3.4
-1.7581e+01,-0.208,-0.184,3.6,3.8
-1.7573e+01,-0.208,-0.216,3.6,3.4
-1.7565e+01,-0.208,-0.192,3.6,3.8
-1.7558e+01,-0.208,-0.216,3.6,3.4
-1.7550e+01,-0.208,-0.2,3.6,3.8
-1.7542e+01,-0.208,-0.224,3.6,3.4
-1.7535e+01,-0.216,-0.2,3.6,3.8
-1.7527e+01,-0.216,-0.224,3.6,3.4
-1.7519e+01,-0.216,-0.208,3.6,3.8
-1.7512e+01,-0.224,-0.232,3.6,3.2
-1.7504e+01,-0.224,-0.208,3.6,3.8
-1.7496e+01,-0.224,-0.232,3.4,3.2
-1.7488e+01,-0.224,-0.216,3.4,3.8
-1.7481e+01,-0.232,-0.24,3.4,3.2
-1.7473e+01,-0.232,-0.216,3.4,3.8
-1.7465e+01,-0.232,-0.24,3.4,3.2
-1.7458e+01,-0.232,-0.224,3.4,3.6
-1.7450e+01,-0.24,-0.248,3.4,3.2
-1.7442e+01,-0.24,-0.224,3.4,3.6
-1.7435e+01,-0.24,-0.248,3.4,3.2
-1.7427e+01,-0.24,-0.232,3.4,3.6
-1.7419e+01,-0.248,-0.256,3.4,3.2
-1.7412e+01,-0.248,-0.232,3.4,3.6
-1.7404e+01,-0.248,-0.264,3.4,3.2
-1.7396e+01,-0.256,-0.24,3.4,3.6
-1.7389e+01,-0.256,-0.264,3.4,3.2
-1.7381e+01,-0.256,-0.24,3.4,3.6
-1.7373e+01,-0.256,-0.272,3.4,3.2
-1.7366e+01,-0.264,-0.248,3.4,3.6
-1.7358e+01,-0.264,-0.272,3.4,3.2
-1.7350e+01,-0.264,-0.248,3.4,3.6
-1.7343e+01,-0.264,-0.28,3.4,3.2
-1.7335e+01,-0.272,-0.256,3.4,3.6
-1.7327e+01,-0.272,-0.28,3.4,3.2
-1.7320e+01,-0.272,-0.264,3.4,3.6
-1.7312e+01,-0.272,-0.288,3.4,3
-1.7304e+01,-0.28,-0.264,3.4,3.6
-1.7296e+01,-0.28,-0.288,3.4,3
-1.7289e+01,-0.28,-0.272,3.4,3.6
-1.7281e+01,-0.28,-0.296,3.2,3
-1.7273e+01,-0.28,-0.272,3.2,3.6
-1.7266e+01,-0.288,-0.296,3.2,3
-1.7258e+01,-0.288,-0.272,3.2,3.6
-1.7250e+01,-0.288,-0.296,3.2,3
-1.7243e+01,-0.288,-0.272,3.2,3.4
-1.7235e+01,-0.288,-0.304,3.2,3
-1.7227e+01,-0.288,-0.28,3.2,3.4
-1.7220e+01,-0.288,-0.304,3.2,3
-1.7212e+01,-0.296,-0.28,3.2,3.4
-1.7204e+01,-0.296,-0.304,3.2,3
-1.7197e+01,-0.296,-0.28,3.2,3.4
-1.7189e+01,-0.296,-0.304,3.2,3
-1.7181e+01,-0.296,-0.288,3.2,3.4
-1.7174e+01,-0.296,-0.304,3.2,3
-1.7166e+01,-0.296,-0.288,3.2,3.4
-1.7158e+01,-0.296,-0.304,3.2,3
-1.7151e+01,-0.296,-0.288,3.2,3.4
-1.7143e+01,-0.296,-0.304,3.2,3
-1.7135e+01,-0.296,-0.288,3.2,3.4
-1.7127e+01,-0.296,-0.304,3.2,3
-1.7120e+01,-0.296,-0.288,3.2,3.4
-1.7112e+01,-0.296,-0.304,3.2,3
-1.7104e+01,-0.296,-0.28,3.2,3.4
-1.7097e+01,-0.296,-0.304,3,2.8
-1.7089e+01,-0.296,-0.28,3,3.4
-1.7081e+01,-0.296,-0.312,3,2.8
-1.7074e+01,-0.296,-0.28,3,3.4
-1.7066e+01,-0.288,-0.304,3,2.8
-1.7058e+01,-0.288,-0.28,3,3.4
-1.7051e+01,-0.288,-0.304,3,2.8
-1.7043e+01,-0.288,-0.28,3,3.2
-1.7035e+01,-0.288,-0.304,3,2.8
-1.7028e+01,-0.288,-0.272,3,3.2
-1.7020e+01,-0.288,-0.296,3,2.8
-1.7012e+01,-0.288,-0.272,3,3.2
-1.7005e+01,-0.288,-0.296,3,2.8
-1.6997e+01,-0.288,-0.272,3,3.2
-1.6989e+01,-0.28,-0.296,3,2.8
-1.6982e+01,-0.28,-0.272,3,3.2
-1.6974e+01,-0.28,-0.296,3,2.8
-1.6966e+01,-0.28,-0.272,3,3.2
-1.6959e+01,-0.28,-0.288,3,2.8
-1.6951e+01,-0.28,-0.264,3,3.2
-1.6943e+01,-0.28,-0.288,3,2.8
-1.6935e+01,-0.28,-0.264,3,3.2
-1.6928e+01,-0.28,-0.288,3,2.6
-1.6920e+01,-0.272,-0.264,3,3.2
-1.6912e+01,-0.272,-0.288,3,2.6
-1.6905e+01,-0.272,-0.264,3,3.2
-1.6897e+01,-0.272,-0.28,3,2.6
-1.6889e+01,-0.272,-0.256,2.8,3.2
-1.6882e+01,-0.272,-0.28,2.8,2.6
-1.6874e+01,-0.264,-0.256,2.8,3.2
-1.6866e+01,-0.264,-0.28,2.8,2.6
-1.6859e+01,-0.264,-0.256,2.8,3
-1.6851e+01,-0.264,-0.28,2.8,2.6
-1.6843e+01,-0.264,-0.248,2.8,3
-1.6836e+01,-0.264,-0.272,2.8,2.6
-1.6828e+01,-0.256,-0.248,2.8,3
-1.6820e+01,-0.256,-0.272,2.8,2.6
-1.6813e+01,-0.256,-0.248,2.8,3
-1.6805e+01,-0.256,-0.264,2.8,2.6
-1.6797e+01,-0.256,-0.24,2.8,3
-1.6790e+01,-0.248,-0.264,2.8,2.6
-1.6782e+01,-0.248,-0.24,2.8,3
-1.6774e+01,-0.248,-0.264,2.8,2.6
-1.6767e+01,-0.248,-0.232,2.8,3
-1.6759e+01,-0.248,-0.264,2.8,2.6
-1.6751e+01,-0.248,-0.232,2.8,3
-1.6743e+01,-0.248,-0.256,2.8,2.6
-1.6736e+01,-0.24,-0.232,2.8,3
-1.6728e+01,-0.24,-0.256,2.8,2.6
-1.6720e+01,-0.24,-0.232,2.8,3
-1.6713e+01,-0.24,-0.248,2.8,2.4
-1.6705e+01,-0.24,-0.224,2.6,3
-1.6697e+01,-0.24,-0.248,2.6,2.4
-1.6690e+01,-0.232,-0.224,2.6,3
-1.6682e+01,-0.232,-0.248,2.6,2.4
-1.6674e+01,-0.232,-0.224,2.6,2.8
-1.6667e+01,-0.232,-0.24,2.6,2.4
-1.6659e+01,-0.232,-0.216,2.6,2.8
-1.6651e+01,-0.224,-0.24,2.6,2.4
-1.6644e+01,-0.224,-0.216,2.6,2.8
-1.6636e+01,-0.224,-0.24,2.6,2.4
-1.6628e+01,-0.224,-0.216,2.6,2.8
-1.6621e+01,-0.224,-0.232,2.6,2.4
-1.6613e+01,-0.224,-0.208,2.6,2.8
-1.6605e+01,-0.224,-0.24,2.6,2.4
-1.6598e+01,-0.224,-0.208,2.6,2.8
-1.6590e+01,-0.216,-0.232,2.6,2.4
-1.6582e+01,-0.216,-0.208,2.6,2.8
-1.6575e+01,-0.216,-0.232,2.6,2.4
-1.6567e+01,-0.216,-0.208,2.6,2.8
-1.6559e+01,-0.216,-0.232,2.6,2.4
-1.6551e+01,-0.216,-0.2,2.6,2.8
-1.6544e+01,-0.216,-0.224,2.6,2.2
-1.6536e+01,-0.216,-0.2,2.6,2.8
-1.6528e+01,-0.208,-0.224,2.6,2.2
-1.6521e+01,-0.208,-0.2,2.6,2.8
-1.6513e+01,-0.208,-0.224,2.6,2.2
-1.6505e+01,-0.208,-0.2,2.4,2.8
-1.6498e+01,-0.208,-0.224,2.4,2.2
-1.6490e+01,-0.208,-0.2,2.4,2.6
-1.6482e+01,-0.208,-0.224,2.4,2.2
-1.6475e+01,-0.208,-0.2,2.4,2.6
-1.6467e+01,-0.208,-0.216,2.4,2.2
-1.6459e+01,-0.208,-0.184,2.4,2.6
-1.6452e+01,-0.208,-0.224,2.4,2.2
