Model,DPO2012,,,,,,
Firmware Version,1.39,,,,,,
,,,,,,,
Point Format,Y,,,,,,
Horizontal Units,S,,,,,,
Horizontal Scale,4,,,,,,
Sample Interval,0.00768049,,,,,,
Filter Frequency,14,,,,,,
Record Length,5200,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,,
Probe Attenuation,1,,1,,,,
Vertical Units,V,,V,,,,
Vertical Offset,0,,0,,,,
Vertical Scale,0.1,,5,,,,
Label,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,,
-1.95E+01,-0.188,-0.196,-12.8,-13.2,,-1.95E+01,-0.188
-1.95E+01,-0.188,-0.176,-12.8,-12.6,,-1.95E+01,-0.188
-1.94E+01,-0.188,-0.2,-12.8,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-12.8,-12.6,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.6,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.6,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.8,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.18,-13,-12.8,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.184,-13,-12.8,,-1.94E+01,-0.188
-1.94E+01,-0.188,-0.196,-13,-13.2,,-1.94E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.176,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.2,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.18,-13,-12.8,,-1.93E+01,-0.188
-1.93E+01,-0.188,-0.2,-13,-13.4,,-1.93E+01,-0.188
-1.93E+01,-0.192,-0.184,-13.2,-12.8,,-1.93E+01,-0.192
-1.93E+01,-0.192,-0.2,-13.2,-13.4,,-1.93E+01,-0.192
-1.93E+01,-0.192,-0.184,-13.2,-13,,-1.93E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.184,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.184,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.184,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.18,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.2,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.18,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.204,-13.2,-13.4,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.18,-13.2,-13,,-1.92E+01,-0.192
-1.92E+01,-0.192,-0.208,-13.2,-13.6,,-1.92E+01,-0.192
-1.91E+01,-0.192,-0.18,-13.4,-13,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.204,-13.4,-13.6,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.184,-13.4,-13.2,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.204,-13.4,-13.6,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.184,-13.4,-13.2,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.2,-13.4,-13.6,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.184,-13.4,-13.2,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.2,-13.4,-13.6,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.184,-13.4,-13.2,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.2,-13.4,-13.6,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.184,-13.4,-13.2,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.2,-13.4,-13.6,,-1.91E+01,-0.192
-1.91E+01,-0.192,-0.184,-13.4,-13.2,,-1.91E+01,-0.192
-1.90E+01,-0.192,-0.2,-13.4,-13.8,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.184,-13.4,-13.2,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.2,-13.4,-13.8,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.18,-13.4,-13.2,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.204,-13.6,-13.8,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.184,-13.6,-13.2,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.204,-13.6,-13.8,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.184,-13.6,-13.2,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.2,-13.6,-13.8,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.184,-13.6,-13.2,,-1.90E+01,-0.192
-1.90E+01,-0.192,-0.204,-13.6,-13.8,,-1.90E+01,-0.192
-1.90E+01,-0.196,-0.188,-13.6,-13.4,,-1.90E+01,-0.196
-1.90E+01,-0.196,-0.204,-13.6,-13.8,,-1.90E+01,-0.196
-1.89E+01,-0.196,-0.188,-13.6,-13.4,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.2,-13.6,-13.8,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.188,-13.6,-13.4,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.2,-13.6,-13.8,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.188,-13.6,-13.4,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.2,-13.6,-13.8,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.188,-13.6,-13.4,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.204,-13.6,-13.8,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.188,-13.6,-13.4,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.204,-13.6,-13.8,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.184,-13.6,-13.4,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.204,-13.6,-14,,-1.89E+01,-0.196
-1.89E+01,-0.196,-0.18,-13.6,-13.4,,-1.89E+01,-0.196
-1.88E+01,-0.196,-0.208,-13.8,-14,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.188,-13.8,-13.4,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.204,-13.8,-14,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.184,-13.8,-13.4,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.204,-13.8,-14,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.188,-13.8,-13.6,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.204,-13.8,-14,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.188,-13.8,-13.6,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.204,-13.8,-14,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.188,-13.8,-13.6,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.204,-13.8,-14,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.188,-13.8,-13.6,,-1.88E+01,-0.196
-1.88E+01,-0.196,-0.204,-13.8,-14,,-1.88E+01,-0.196
-1.87E+01,-0.196,-0.188,-13.8,-13.6,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.204,-13.8,-14,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.188,-13.8,-13.6,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.204,-13.8,-14,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.188,-13.8,-13.6,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.204,-13.8,-14,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.184,-13.8,-13.6,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.208,-13.8,-14.2,,-1.87E+01,-0.196
-1.87E+01,-0.196,-0.188,-13.8,-13.6,,-1.87E+01,-0.196
-1.87E+01,-0.2,-0.208,-13.8,-14.2,,-1.87E+01,-0.2
-1.87E+01,-0.2,-0.188,-13.8,-13.6,,-1.87E+01,-0.2
-1.87E+01,-0.2,-0.208,-13.8,-14.2,,-1.87E+01,-0.2
-1.87E+01,-0.2,-0.188,-14,-13.6,,-1.87E+01,-0.2
-1.86E+01,-0.2,-0.208,-14,-14.2,,-1.86E+01,-0.2
-1.86E+01,-0.2,-0.192,-14,-13.6,,-1.86E+01,-0.2
