Model,DPO2012,,,,,,
Firmware Version,1.39,,,,,,
,,,,,,,
Point Format,Y,,,,,,
Horizontal Units,S,,,,,,
Horizontal Scale,4,,,,,,
Sample Interval,0.00768049,,,,,,
Filter Frequency,14,,,,,,
Record Length,5200,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,,
Probe Attenuation,1,,1,,,,
Vertical Units,V,,V,,,,
Vertical Offset,0,,0,,,,
Vertical Scale,0.1,,5,,,,
Label,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,,
-1.05E+01,-0.392,-0.384,-18.4,-18.2,,-1.05E+01,-0.392
-1.04E+01,-0.392,-0.4,-18.4,-18.6,,-1.04E+01,-0.392
-1.04E+01,-0.392,-0.384,-18.4,-18.2,,-1.04E+01,-0.392
-1.04E+01,-0.388,-0.4,-18.4,-18.6,,-1.04E+01,-0.388
-1.04E+01,-0.388,-0.384,-18.4,-18.2,,-1.04E+01,-0.388
-1.04E+01,-0.388,-0.396,-18.4,-18.6,,-1.04E+01,-0.388
-1.04E+01,-0.388,-0.38,-18.4,-18.2,,-1.04E+01,-0.388
-1.04E+01,-0.388,-0.396,-18.4,-18.6,,-1.04E+01,-0.388
-1.04E+01,-0.388,-0.372,-18.4,-18.2,,-1.04E+01,-0.388
-1.04E+01,-0.384,-0.396,-18.4,-18.6,,-1.04E+01,-0.384
-1.04E+01,-0.384,-0.376,-18.4,-18.2,,-1.04E+01,-0.384
-1.04E+01,-0.384,-0.392,-18.4,-18.6,,-1.04E+01,-0.384
-1.04E+01,-0.384,-0.376,-18.4,-18.2,,-1.04E+01,-0.384
-1.04E+01,-0.384,-0.392,-18.4,-18.6,,-1.04E+01,-0.384
-1.03E+01,-0.384,-0.372,-18.4,-18.2,,-1.03E+01,-0.384
-1.03E+01,-0.384,-0.392,-18.4,-18.6,,-1.03E+01,-0.384
-1.03E+01,-0.38,-0.372,-18.4,-18.2,,-1.03E+01,-0.38
-1.03E+01,-0.38,-0.388,-18.4,-18.6,,-1.03E+01,-0.38
-1.03E+01,-0.38,-0.372,-18.4,-18.2,,-1.03E+01,-0.38
-1.03E+01,-0.38,-0.388,-18.4,-18.6,,-1.03E+01,-0.38
-1.03E+01,-0.38,-0.372,-18.4,-18.2,,-1.03E+01,-0.38
-1.03E+01,-0.38,-0.388,-18.4,-18.6,,-1.03E+01,-0.38
-1.03E+01,-0.376,-0.372,-18.4,-18.2,,-1.03E+01,-0.376
-1.03E+01,-0.376,-0.388,-18.4,-18.6,,-1.03E+01,-0.376
-1.03E+01,-0.376,-0.368,-18.4,-18.2,,-1.03E+01,-0.376
-1.03E+01,-0.376,-0.384,-18.6,-18.8,,-1.03E+01,-0.376
-1.03E+01,-0.376,-0.368,-18.6,-18.4,,-1.03E+01,-0.376
-1.02E+01,-0.376,-0.384,-18.6,-18.8,,-1.02E+01,-0.376
-1.02E+01,-0.376,-0.364,-18.6,-18.4,,-1.02E+01,-0.376
-1.02E+01,-0.376,-0.384,-18.6,-18.8,,-1.02E+01,-0.376
-1.02E+01,-0.376,-0.364,-18.6,-18.4,,-1.02E+01,-0.376
-1.02E+01,-0.372,-0.388,-18.6,-18.8,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.368,-18.6,-18.4,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.38,-18.6,-18.8,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.364,-18.6,-18.4,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.384,-18.6,-18.8,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.364,-18.6,-18.4,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.38,-18.6,-18.8,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.364,-18.6,-18.4,,-1.02E+01,-0.372
-1.02E+01,-0.372,-0.38,-18.6,-18.8,,-1.02E+01,-0.372
-1.01E+01,-0.372,-0.364,-18.6,-18.4,,-1.01E+01,-0.372
-1.01E+01,-0.372,-0.38,-18.6,-18.8,,-1.01E+01,-0.372
-1.01E+01,-0.372,-0.364,-18.6,-18.4,,-1.01E+01,-0.372
-1.01E+01,-0.372,-0.376,-18.6,-18.8,,-1.01E+01,-0.372
-1.01E+01,-0.368,-0.364,-18.6,-18.4,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.376,-18.6,-18.8,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.36,-18.6,-18.4,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.376,-18.6,-18.8,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.36,-18.6,-18.4,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.38,-18.6,-18.8,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.352,-18.6,-18.4,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.38,-18.6,-18.8,,-1.01E+01,-0.368
-1.01E+01,-0.368,-0.36,-18.6,-18.4,,-1.01E+01,-0.368
-1.00E+01,-0.368,-0.38,-18.6,-18.8,,-1.00E+01,-0.368
-1.00E+01,-0.368,-0.36,-18.6,-18.4,,-1.00E+01,-0.368
-1.00E+01,-0.368,-0.376,-18.6,-18.8,,-1.00E+01,-0.368
-1.00E+01,-0.368,-0.36,-18.6,-18.4,,-1.00E+01,-0.368
-1.00E+01,-0.368,-0.376,-18.6,-18.8,,-1.00E+01,-0.368
-1.00E+01,-0.368,-0.36,-18.6,-18.4,,-1.00E+01,-0.368
-1.00E+01,-0.368,-0.376,-18.6,-18.8,,-1.00E+01,-0.368
-9.99E+00,-0.368,-0.36,-18.6,-18.4,,-9.99E+00,-0.368
-9.98E+00,-0.368,-0.376,-18.6,-18.8,,-9.98E+00,-0.368
-9.98E+00,-0.368,-0.36,-18.6,-18.4,,-9.98E+00,-0.368
-9.97E+00,-0.368,-0.376,-18.6,-18.8,,-9.97E+00,-0.368
-9.96E+00,-0.368,-0.36,-18.6,-18.4,,-9.96E+00,-0.368
-9.95E+00,-0.368,-0.376,-18.6,-18.8,,-9.95E+00,-0.368
-9.95E+00,-0.368,-0.36,-18.6,-18.4,,-9.95E+00,-0.368
-9.94E+00,-0.368,-0.376,-18.6,-18.8,,-9.94E+00,-0.368
-9.93E+00,-0.368,-0.36,-18.6,-18.4,,-9.93E+00,-0.368
-9.92E+00,-0.368,-0.376,-18.6,-18.8,,-9.92E+00,-0.368
-9.92E+00,-0.368,-0.36,-18.6,-18.4,,-9.92E+00,-0.368
-9.91E+00,-0.368,-0.376,-18.6,-18.8,,-9.91E+00,-0.368
-9.90E+00,-0.368,-0.356,-18.6,-18.4,,-9.90E+00,-0.368
-9.89E+00,-0.368,-0.38,-18.6,-18.8,,-9.89E+00,-0.368
-9.88E+00,-0.368,-0.36,-18.8,-18.4,,-9.88E+00,-0.368
-9.88E+00,-0.368,-0.376,-18.8,-18.8,,-9.88E+00,-0.368
-9.87E+00,-0.368,-0.356,-18.8,-18.6,,-9.87E+00,-0.368
-9.86E+00,-0.368,-0.38,-18.8,-18.8,,-9.86E+00,-0.368
-9.85E+00,-0.368,-0.364,-18.8,-18.6,,-9.85E+00,-0.368
-9.85E+00,-0.368,-0.376,-18.8,-19,,-9.85E+00,-0.368
-9.84E+00,-0.372,-0.364,-18.8,-18.6,,-9.84E+00,-0.372
-9.83E+00,-0.372,-0.38,-18.8,-19,,-9.83E+00,-0.372
-9.82E+00,-0.372,-0.364,-18.8,-18.6,,-9.82E+00,-0.372
-9.82E+00,-0.372,-0.38,-18.8,-18.8,,-9.82E+00,-0.372
-9.81E+00,-0.372,-0.364,-18.8,-18.6,,-9.81E+00,-0.372
-9.80E+00,-0.372,-0.38,-18.8,-19,,-9.80E+00,-0.372
-9.79E+00,-0.372,-0.364,-18.8,-18.6,,-9.79E+00,-0.372
-9.78E+00,-0.372,-0.38,-18.8,-19,,-9.78E+00,-0.372
-9.78E+00,-0.372,-0.364,-18.8,-18.6,,-9.78E+00,-0.372
-9.77E+00,-0.372,-0.38,-18.8,-19,,-9.77E+00,-0.372
-9.76E+00,-0.372,-0.36,-18.8,-18.6,,-9.76E+00,-0.372
-9.75E+00,-0.372,-0.38,-18.8,-19,,-9.75E+00,-0.372
-9.75E+00,-0.372,-0.36,-18.8,-18.6,,-9.75E+00,-0.372
-9.74E+00,-0.372,-0.384,-18.8,-19,,-9.74E+00,-0.372
-9.73E+00,-0.372,-0.368,-18.8,-18.6,,-9.73E+00,-0.372
-9.72E+00,-0.376,-0.38,-18.8,-19,,-9.72E+00,-0.376
-9.72E+00,-0.376,-0.364,-18.8,-18.6,,-9.72E+00,-0.376
-9.71E+00,-0.376,-0.384,-18.8,-19,,-9.71E+00,-0.376
-9.70E+00,-0.376,-0.364,-18.8,-18.6,,-9.70E+00,-0.376
-9.69E+00,-0.376,-0.384,-18.8,-19,,-9.69E+00,-0.376
-9.69E+00,-0.376,-0.368,-18.8,-18.6,,-9.69E+00,-0.376
-9.68E+00,-0.376,-0.384,-18.8,-19,,-9.68E+00,-0.376
-9.67E+00,-0.376,-0.368,-18.8,-18.6,,-9.67E+00,-0.376
-9.66E+00,-0.376,-0.384,-18.8,-19,,-9.66E+00,-0.376
-9.65E+00,-0.376,-0.368,-18.8,-18.6,,-9.65E+00,-0.376
-9.65E+00,-0.376,-0.384,-18.8,-19,,-9.65E+00,-0.376
-9.64E+00,-0.376,-0.372,-18.8,-18.6,,-9.64E+00,-0.376
-9.63E+00,-0.38,-0.384,-18.8,-19,,-9.63E+00,-0.38
-9.62E+00,-0.38,-0.372,-18.8,-18.6,,-9.62E+00,-0.38
-9.62E+00,-0.38,-0.388,-18.8,-19,,-9.62E+00,-0.38
-9.61E+00,-0.38,-0.372,-18.8,-18.6,,-9.61E+00,-0.38
-9.60E+00,-0.38,-0.388,-18.8,-19,,-9.60E+00,-0.38
-9.59E+00,-0.38,-0.364,-18.8,-18.6,,-9.59E+00,-0.38
-9.59E+00,-0.38,-0.388,-18.8,-19,,-9.59E+00,-0.38
-9.58E+00,-0.38,-0.368,-18.8,-18.6,,-9.58E+00,-0.38
-9.57E+00,-0.38,-0.392,-18.8,-19,,-9.57E+00,-0.38
-9.56E+00,-0.38,-0.372,-18.8,-18.6,,-9.56E+00,-0.38
-9.55E+00,-0.38,-0.388,-18.8,-19,,-9.55E+00,-0.38
-9.55E+00,-0.38,-0.372,-18.8,-18.6,,-9.55E+00,-0.38
-9.54E+00,-0.38,-0.388,-18.8,-19,,-9.54E+00,-0.38
-9.53E+00,-0.38,-0.372,-18.8,-18.6,,-9.53E+00,-0.38
-9.52E+00,-0.38,-0.388,-18.8,-19,,-9.52E+00,-0.38
-9.52E+00,-0.384,-0.376,-18.8,-18.6,,-9.52E+00,-0.384
-9.51E+00,-0.384,-0.392,-18.8,-19.2,,-9.51E+00,-0.384
-9.50E+00,-0.384,-0.376,-18.8,-18.8,,-9.50E+00,-0.384
-9.49E+00,-0.384,-0.388,-18.8,-19,,-9.49E+00,-0.384
-9.49E+00,-0.384,-0.376,-18.8,-18.6,,-9.49E+00,-0.384
-9.48E+00,-0.384,-0.392,-18.8,-19,,-9.48E+00,-0.384
-9.47E+00,-0.384,-0.376,-18.8,-18.8,,-9.47E+00,-0.384
-9.46E+00,-0.384,-0.392,-19,-19.2,,-9.46E+00,-0.384
-9.45E+00,-0.384,-0.376,-19,-18.8,,-9.45E+00,-0.384
-9.45E+00,-0.384,-0.392,-19,-19.2,,-9.45E+00,-0.384
-9.44E+00,-0.384,-0.376,-19,-18.8,,-9.44E+00,-0.384
-9.43E+00,-0.384,-0.392,-19,-19.2,,-9.43E+00,-0.384
-9.42E+00,-0.384,-0.372,-19,-18.8,,-9.42E+00,-0.384
-9.42E+00,-0.384,-0.396,-19,-19.2,,-9.42E+00,-0.384
-9.41E+00,-0.384,-0.376,-19,-18.8,,-9.41E+00,-0.384
-9.40E+00,-0.384,-0.392,-19,-19.2,,-9.40E+00,-0.384
-9.39E+00,-0.384,-0.376,-19,-18.8,,-9.39E+00,-0.384
-9.39E+00,-0.384,-0.396,-19,-19.2,,-9.39E+00,-0.384
-9.38E+00,-0.384,-0.376,-19,-18.8,,-9.38E+00,-0.384
-9.37E+00,-0.384,-0.392,-19,-19.2,,-9.37E+00,-0.384
-9.36E+00,-0.384,-0.38,-19,-18.8,,-9.36E+00,-0.384
-9.35E+00,-0.384,-0.392,-19,-19.2,,-9.35E+00,-0.384
-9.35E+00,-0.384,-0.38,-19,-18.8,,-9.35E+00,-0.384
-9.34E+00,-0.384,-0.392,-19,-19.2,,-9.34E+00,-0.384
-9.33E+00,-0.388,-0.38,-19,-18.8,,-9.33E+00,-0.388
-9.32E+00,-0.388,-0.396,-19,-19.2,,-9.32E+00,-0.388
-9.32E+00,-0.388,-0.38,-19,-18.8,,-9.32E+00,-0.388
-9.31E+00,-0.388,-0.392,-19,-19.2,,-9.31E+00,-0.388
-9.30E+00,-0.388,-0.38,-19,-18.8,,-9.30E+00,-0.388
-9.29E+00,-0.388,-0.396,-19,-19.2,,-9.29E+00,-0.388
-9.29E+00,-0.388,-0.376,-19,-18.8,,-9.29E+00,-0.388
-9.28E+00,-0.388,-0.396,-19,-19.2,,-9.28E+00,-0.388
-9.27E+00,-0.388,-0.376,-19,-18.8,,-9.27E+00,-0.388
-9.26E+00,-0.388,-0.396,-19,-19.2,,-9.26E+00,-0.388
-9.26E+00,-0.388,-0.376,-19,-18.8,,-9.26E+00,-0.388
-9.25E+00,-0.388,-0.396,-19,-19.2,,-9.25E+00,-0.388
-9.24E+00,-0.388,-0.38,-19,-18.8,,-9.24E+00,-0.388
-9.23E+00,-0.388,-0.396,-19,-19.2,,-9.23E+00,-0.388
-9.22E+00,-0.388,-0.376,-19,-18.8,,-9.22E+00,-0.388
-9.22E+00,-0.388,-0.396,-19,-19.2,,-9.22E+00,-0.388
-9.21E+00,-0.388,-0.38,-19,-18.8,,-9.21E+00,-0.388
-9.20E+00,-0.388,-0.396,-19,-19.2,,-9.20E+00,-0.388
-9.19E+00,-0.388,-0.38,-19,-18.8,,-9.19E+00,-0.388
-9.19E+00,-0.388,-0.396,-19,-19.2,,-9.19E+00,-0.388
-9.18E+00,-0.388,-0.384,-19,-18.8,,-9.18E+00,-0.388
-9.17E+00,-0.388,-0.396,-19,-19.2,,-9.17E+00,-0.388
-9.16E+00,-0.388,-0.384,-19,-18.8,,-9.16E+00,-0.388
-9.16E+00,-0.388,-0.396,-19,-19.2,,-9.16E+00,-0.388
-9.15E+00,-0.388,-0.384,-19,-18.8,,-9.15E+00,-0.388
-9.14E+00,-0.392,-0.396,-19,-19.2,,-9.14E+00,-0.392
-9.13E+00,-0.392,-0.38,-19,-18.8,,-9.13E+00,-0.392
-9.12E+00,-0.392,-0.4,-19,-19.2,,-9.12E+00,-0.392
-9.12E+00,-0.392,-0.384,-19,-18.8,,-9.12E+00,-0.392
-9.11E+00,-0.392,-0.4,-19,-19.2,,-9.11E+00,-0.392
-9.10E+00,-0.392,-0.38,-19,-18.8,,-9.10E+00,-0.392
-9.09E+00,-0.392,-0.404,-19,-19.2,,-9.09E+00,-0.392
-9.09E+00,-0.392,-0.38,-19,-18.8,,-9.09E+00,-0.392
-9.08E+00,-0.392,-0.4,-19.2,-19.2,,-9.08E+00,-0.392
-9.07E+00,-0.392,-0.384,-19.2,-19,,-9.07E+00,-0.392
-9.06E+00,-0.392,-0.4,-19.2,-19.4,,-9.06E+00,-0.392
-9.06E+00,-0.392,-0.388,-19.2,-19,,-9.06E+00,-0.392
-9.05E+00,-0.392,-0.4,-19.2,-19.4,,-9.05E+00,-0.392
-9.04E+00,-0.392,-0.384,-19.2,-19,,-9.04E+00,-0.392
-9.03E+00,-0.392,-0.4,-19.2,-19.4,,-9.03E+00,-0.392
-9.02E+00,-0.392,-0.388,-19.2,-19,,-9.02E+00,-0.392
-9.02E+00,-0.392,-0.4,-19.2,-19.4,,-9.02E+00,-0.392
-9.01E+00,-0.392,-0.388,-19.2,-19,,-9.01E+00,-0.392
-9.00E+00,-0.396,-0.4,-19.2,-19.4,,-9.00E+00,-0.396
-8.99E+00,-0.396,-0.388,-19.2,-19,,-8.99E+00,-0.396
-8.99E+00,-0.396,-0.404,-19.2,-19.4,,-8.99E+00,-0.396
-8.98E+00,-0.396,-0.388,-19.2,-19,,-8.98E+00,-0.396
-8.97E+00,-0.396,-0.404,-19.2,-19.4,,-8.97E+00,-0.396
-8.96E+00,-0.396,-0.388,-19.2,-19,,-8.96E+00,-0.396
-8.96E+00,-0.396,-0.404,-19.2,-19.4,,-8.96E+00,-0.396
-8.95E+00,-0.396,-0.384,-19.2,-19,,-8.95E+00,-0.396
-8.94E+00,-0.396,-0.412,-19.2,-19.4,,-8.94E+00,-0.396
-8.93E+00,-0.396,-0.388,-19.2,-19,,-8.93E+00,-0.396
-8.92E+00,-0.396,-0.404,-19.2,-19.4,,-8.92E+00,-0.396
-8.92E+00,-0.396,-0.388,-19.2,-19,,-8.92E+00,-0.396
-8.91E+00,-0.396,-0.408,-19.2,-19.4,,-8.91E+00,-0.396
-8.90E+00,-0.396,-0.392,-19.2,-19,,-8.90E+00,-0.396
-8.89E+00,-0.396,-0.408,-19.2,-19.4,,-8.89E+00,-0.396
-8.89E+00,-0.396,-0.392,-19.2,-19,,-8.89E+00,-0.396
-8.88E+00,-0.396,-0.404,-19.2,-19.4,,-8.88E+00,-0.396
-8.87E+00,-0.396,-0.392,-19.2,-19,,-8.87E+00,-0.396
-8.86E+00,-0.4,-0.404,-19.2,-19.4,,-8.86E+00,-0.4
-8.86E+00,-0.4,-0.392,-19.2,-19,,-8.86E+00,-0.4
-8.85E+00,-0.4,-0.404,-19.2,-19.4,,-8.85E+00,-0.4
-8.84E+00,-0.4,-0.392,-19.2,-19,,-8.84E+00,-0.4
-8.83E+00,-0.4,-0.408,-19.2,-19.4,,-8.83E+00,-0.4
-8.82E+00,-0.4,-0.392,-19.2,-19,,-8.82E+00,-0.4
-8.82E+00,-0.4,-0.408,-19.2,-19.4,,-8.82E+00,-0.4
-8.81E+00,-0.4,-0.392,-19.2,-19,,-8.81E+00,-0.4
-8.80E+00,-0.4,-0.408,-19.2,-19.4,,-8.80E+00,-0.4
-8.79E+00,-0.4,-0.388,-19.2,-19,,-8.79E+00,-0.4
-8.79E+00,-0.4,-0.412,-19.2,-19.4,,-8.79E+00,-0.4
-8.78E+00,-0.4,-0.388,-19.2,-19,,-8.78E+00,-0.4
-8.77E+00,-0.4,-0.408,-19.2,-19.4,,-8.77E+00,-0.4
-8.76E+00,-0.4,-0.392,-19.2,-19,,-8.76E+00,-0.4
-8.76E+00,-0.4,-0.408,-19.2,-19.4,,-8.76E+00,-0.4
-8.75E+00,-0.4,-0.388,-19.2,-19,,-8.75E+00,-0.4
-8.74E+00,-0.4,-0.408,-19.2,-19.4,,-8.74E+00,-0.4
-8.73E+00,-0.4,-0.392,-19.2,-19,,-8.73E+00,-0.4
-8.73E+00,-0.4,-0.408,-19.2,-19.4,,-8.73E+00,-0.4
-8.72E+00,-0.4,-0.392,-19.2,-19,,-8.72E+00,-0.4
-8.71E+00,-0.4,-0.408,-19.2,-19.4,,-8.71E+00,-0.4
-8.70E+00,-0.4,-0.392,-19.2,-19,,-8.70E+00,-0.4
-8.69E+00,-0.4,-0.408,-19.2,-19.4,,-8.69E+00,-0.4
-8.69E+00,-0.4,-0.392,-19.2,-19.2,,-8.69E+00,-0.4
-8.68E+00,-0.4,-0.408,-19.2,-19.4,,-8.68E+00,-0.4
-8.67E+00,-0.4,-0.392,-19.4,-19.2,,-8.67E+00,-0.4
-8.66E+00,-0.4,-0.408,-19.4,-19.6,,-8.66E+00,-0.4
-8.66E+00,-0.4,-0.392,-19.4,-19.2,,-8.66E+00,-0.4
-8.65E+00,-0.4,-0.408,-19.4,-19.6,,-8.65E+00,-0.4
-8.64E+00,-0.4,-0.388,-19.4,-19.2,,-8.64E+00,-0.4
-8.63E+00,-0.4,-0.408,-19.4,-19.6,,-8.63E+00,-0.4
-8.63E+00,-0.4,-0.388,-19.4,-19.2,,-8.63E+00,-0.4
-8.62E+00,-0.4,-0.408,-19.4,-19.6,,-8.62E+00,-0.4
-8.61E+00,-0.4,-0.388,-19.4,-19.2,,-8.61E+00,-0.4
-8.60E+00,-0.4,-0.408,-19.4,-19.6,,-8.60E+00,-0.4
-8.59E+00,-0.4,-0.388,-19.4,-19.2,,-8.59E+00,-0.4
-8.59E+00,-0.4,-0.408,-19.4,-19.6,,-8.59E+00,-0.4
-8.58E+00,-0.396,-0.392,-19.4,-19.2,,-8.58E+00,-0.396
-8.57E+00,-0.396,-0.404,-19.4,-19.6,,-8.57E+00,-0.396
-8.56E+00,-0.396,-0.392,-19.4,-19.2,,-8.56E+00,-0.396
-8.56E+00,-0.396,-0.404,-19.4,-19.6,,-8.56E+00,-0.396
-8.55E+00,-0.396,-0.392,-19.4,-19.2,,-8.55E+00,-0.396
-8.54E+00,-0.396,-0.408,-19.4,-19.6,,-8.54E+00,-0.396
-8.53E+00,-0.396,-0.392,-19.4,-19.2,,-8.53E+00,-0.396
-8.53E+00,-0.396,-0.404,-19.4,-19.6,,-8.53E+00,-0.396
-8.52E+00,-0.396,-0.388,-19.4,-19.2,,-8.52E+00,-0.396
-8.51E+00,-0.396,-0.404,-19.4,-19.6,,-8.51E+00,-0.396
-8.50E+00,-0.396,-0.388,-19.4,-19.2,,-8.50E+00,-0.396
-8.49E+00,-0.396,-0.404,-19.4,-19.6,,-8.49E+00,-0.396
-8.49E+00,-0.396,-0.388,-19.4,-19.2,,-8.49E+00,-0.396
-8.48E+00,-0.396,-0.404,-19.4,-19.6,,-8.48E+00,-0.396
-8.47E+00,-0.396,-0.384,-19.4,-19.2,,-8.47E+00,-0.396
-8.46E+00,-0.396,-0.408,-19.4,-19.6,,-8.46E+00,-0.396
-8.46E+00,-0.396,-0.388,-19.4,-19.2,,-8.46E+00,-0.396
-8.45E+00,-0.396,-0.404,-19.4,-19.6,,-8.45E+00,-0.396
-8.44E+00,-0.396,-0.384,-19.4,-19.2,,-8.44E+00,-0.396
-8.43E+00,-0.396,-0.404,-19.4,-19.6,,-8.43E+00,-0.396
-8.43E+00,-0.396,-0.384,-19.4,-19.2,,-8.43E+00,-0.396
-8.42E+00,-0.396,-0.404,-19.4,-19.6,,-8.42E+00,-0.396
-8.41E+00,-0.396,-0.388,-19.4,-19.2,,-8.41E+00,-0.396
-8.40E+00,-0.392,-0.404,-19.4,-19.6,,-8.40E+00,-0.392
-8.39E+00,-0.392,-0.388,-19.4,-19.2,,-8.39E+00,-0.392
-8.39E+00,-0.392,-0.4,-19.4,-19.6,,-8.39E+00,-0.392
-8.38E+00,-0.392,-0.388,-19.4,-19.2,,-8.38E+00,-0.392
-8.37E+00,-0.392,-0.4,-19.4,-19.6,,-8.37E+00,-0.392
-8.36E+00,-0.392,-0.388,-19.4,-19.2,,-8.36E+00,-0.392
-8.36E+00,-0.392,-0.4,-19.4,-19.6,,-8.36E+00,-0.392
-8.35E+00,-0.392,-0.384,-19.4,-19.2,,-8.35E+00,-0.392
-8.34E+00,-0.392,-0.4,-19.4,-19.6,,-8.34E+00,-0.392
-8.33E+00,-0.392,-0.384,-19.4,-19.2,,-8.33E+00,-0.392
-8.33E+00,-0.392,-0.4,-19.4,-19.6,,-8.33E+00,-0.392
-8.32E+00,-0.392,-0.38,-19.4,-19.2,,-8.32E+00,-0.392
-8.31E+00,-0.392,-0.4,-19.6,-19.6,,-8.31E+00,-0.392
-8.30E+00,-0.392,-0.384,-19.6,-19.2,,-8.30E+00,-0.392
-8.29E+00,-0.392,-0.404,-19.6,-19.6,,-8.29E+00,-0.392
-8.29E+00,-0.392,-0.38,-19.6,-19.4,,-8.29E+00,-0.392
-8.28E+00,-0.392,-0.4,-19.6,-19.8,,-8.28E+00,-0.392
-8.27E+00,-0.392,-0.38,-19.6,-19.4,,-8.27E+00,-0.392
-8.26E+00,-0.392,-0.4,-19.6,-19.6,,-8.26E+00,-0.392
-8.26E+00,-0.392,-0.384,-19.6,-19.4,,-8.26E+00,-0.392
-8.25E+00,-0.392,-0.4,-19.6,-19.8,,-8.25E+00,-0.392
-8.24E+00,-0.392,-0.384,-19.6,-19.4,,-8.24E+00,-0.392
-8.23E+00,-0.392,-0.4,-19.6,-19.8,,-8.23E+00,-0.392
-8.23E+00,-0.392,-0.384,-19.6,-19.4,,-8.23E+00,-0.392
-8.22E+00,-0.388,-0.396,-19.6,-19.8,,-8.22E+00,-0.388
-8.21E+00,-0.388,-0.384,-19.6,-19.4,,-8.21E+00,-0.388
-8.20E+00,-0.388,-0.396,-19.6,-19.8,,-8.20E+00,-0.388
-8.20E+00,-0.388,-0.384,-19.6,-19.4,,-8.20E+00,-0.388
-8.19E+00,-0.388,-0.396,-19.6,-19.8,,-8.19E+00,-0.388
-8.18E+00,-0.388,-0.384,-19.6,-19.4,,-8.18E+00,-0.388
-8.17E+00,-0.388,-0.396,-19.6,-19.8,,-8.17E+00,-0.388
-8.16E+00,-0.388,-0.376,-19.6,-19.4,,-8.16E+00,-0.388
-8.16E+00,-0.388,-0.396,-19.6,-19.8,,-8.16E+00,-0.388
-8.15E+00,-0.388,-0.376,-19.6,-19.4,,-8.15E+00,-0.388
-8.14E+00,-0.388,-0.396,-19.6,-19.8,,-8.14E+00,-0.388
-8.13E+00,-0.388,-0.38,-19.6,-19.4,,-8.13E+00,-0.388
-8.13E+00,-0.388,-0.396,-19.6,-19.8,,-8.13E+00,-0.388
-8.12E+00,-0.388,-0.38,-19.6,-19.4,,-8.12E+00,-0.388
-8.11E+00,-0.388,-0.396,-19.6,-19.8,,-8.11E+00,-0.388
-8.10E+00,-0.388,-0.38,-19.6,-19.4,,-8.10E+00,-0.388
-8.10E+00,-0.388,-0.396,-19.6,-19.8,,-8.10E+00,-0.388
-8.09E+00,-0.388,-0.38,-19.6,-19.4,,-8.09E+00,-0.388
-8.08E+00,-0.388,-0.396,-19.6,-19.8,,-8.08E+00,-0.388
-8.07E+00,-0.388,-0.38,-19.6,-19.4,,-8.07E+00,-0.388
-8.06E+00,-0.388,-0.396,-19.6,-19.8,,-8.06E+00,-0.388
-8.06E+00,-0.388,-0.38,-19.6,-19.4,,-8.06E+00,-0.388
-8.05E+00,-0.388,-0.396,-19.6,-19.8,,-8.05E+00,-0.388
-8.04E+00,-0.388,-0.38,-19.6,-19.4,,-8.04E+00,-0.388
-8.03E+00,-0.388,-0.396,-19.6,-19.8,,-8.03E+00,-0.388
-8.03E+00,-0.388,-0.38,-19.6,-19.4,,-8.03E+00,-0.388
-8.02E+00,-0.388,-0.396,-19.6,-19.8,,-8.02E+00,-0.388
-8.01E+00,-0.388,-0.38,-19.6,-19.4,,-8.01E+00,-0.388
-8.00E+00,-0.388,-0.396,-19.6,-19.8,,-8.00E+00,-0.388
-8.00E+00,-0.388,-0.376,-19.6,-19.4,,-8.00E+00,-0.388
-7.99E+00,-0.388,-0.4,-19.6,-19.8,,-7.99E+00,-0.388
-7.98E+00,-0.388,-0.376,-19.6,-19.4,,-7.98E+00,-0.388
-7.97E+00,-0.388,-0.396,-19.6,-19.8,,-7.97E+00,-0.388
-7.96E+00,-0.388,-0.38,-19.6,-19.4,,-7.96E+00,-0.388
-7.96E+00,-0.388,-0.4,-19.6,-19.8,,-7.96E+00,-0.388
-7.95E+00,-0.388,-0.376,-19.6,-19.6,,-7.95E+00,-0.388
-7.94E+00,-0.388,-0.396,-19.6,-19.8,,-7.94E+00,-0.388
-7.93E+00,-0.388,-0.384,-19.6,-19.6,,-7.93E+00,-0.388
-7.93E+00,-0.388,-0.396,-19.6,-19.8,,-7.93E+00,-0.388
-7.92E+00,-0.388,-0.384,-19.6,-19.6,,-7.92E+00,-0.388
