Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.558e+00,-0,-0.012,-9.4,-9.6
-9.555e+00,-0,0.004,-9.4,-9.2
-9.551e+00,-0.004,-0.012,-9.4,-9.6
-9.547e+00,-0,0.004,-9.4,-9.2
-9.543e+00,-0.004,-0.012,-9.4,-9.6
-9.539e+00,-0.004,0.008,-9.4,-9.2
-9.535e+00,-0.004,-0.016,-9.4,-9.6
-9.531e+00,-0.004,0.004,-9.4,-9.2
-9.528e+00,-0.004,-0.012,-9.4,-9.6
-9.524e+00,-0.004,0.008,-9.4,-9.2
-9.520e+00,-0.004,-0.012,-9.4,-9.6
-9.516e+00,-0.004,0.004,-9.4,-9.2
-9.512e+00,-0.004,-0.012,-9.4,-9.6
-9.508e+00,-0.004,0.004,-9.4,-9
-9.505e+00,-0.004,-0.012,-9.2,-9.6
-9.501e+00,-0.004,0.008,-9.2,-9
-9.497e+00,-0.004,-0.012,-9.2,-9.4
-9.493e+00,-0.004,0.004,-9.2,-8.8
-9.489e+00,-0.004,-0.012,-9,-9.4
-9.485e+00,-0,0.004,-9,-8.8
-9.482e+00,-0.004,-0.012,-9,-9.2
-9.478e+00,-0.004,0.004,-9,-8.6
-9.474e+00,-0,-0.012,-8.8,-9.2
-9.470e+00,-0.004,0.004,-8.8,-8.6
-9.466e+00,-0.004,-0.012,-8.8,-9
-9.462e+00,-0.004,0.004,-8.8,-8.4
-9.459e+00,-0.004,-0.012,-8.6,-9
-9.455e+00,-0.004,0.004,-8.6,-8.4
-9.451e+00,-0.004,-0.008,-8.6,-8.8
-9.447e+00,-0.004,0.004,-8.6,-8.2
-9.443e+00,-0.004,-0.012,-8.4,-8.8
-9.439e+00,-0.004,0.004,-8.4,-8.2
-9.435e+00,-0.004,-0.008,-8.4,-8.6
-9.432e+00,-0.004,0.004,-8.4,-8
-9.428e+00,-0,-0.012,-8.2,-8.6
-9.424e+00,-0.004,0.004,-8.2,-8
-9.420e+00,-0,-0.008,-8.2,-8.4
-9.416e+00,-0.004,0.004,-8.2,-7.8
-9.412e+00,-0,-0.012,-8,-8.4
-9.409e+00,-0.004,0.004,-8,-7.8
-9.405e+00,-0.004,-0.008,-8,-8.2
-9.401e+00,-0,0.008,-8,-7.8
-9.397e+00,-0.004,-0.012,-8,-8.2
-9.393e+00,-0,0.004,-8,-7.8
-9.389e+00,-0.004,-0.008,-8,-8.2
-9.386e+00,-0,0.012,-8,-7.8
-9.382e+00,-0,-0.012,-8,-8.2
-9.378e+00,-0.004,0.008,-8,-7.8
-9.374e+00,-0,-0.016,-8,-8.2
-9.370e+00,-0,0.008,-8,-7.8
-9.366e+00,-0,-0.012,-8,-8.2
-9.363e+00,-0.004,0.008,-8,-7.8
-9.359e+00,-0.004,-0.008,-8.2,-8.4
-9.355e+00,-0,0.008,-8.2,-8
-9.351e+00,-0,-0.008,-8.2,-8.4
-9.347e+00,-0,0.008,-8.2,-8
-9.343e+00,-0.004,-0.012,-8.2,-8.4
-9.339e+00,-0,0.008,-8.2,-8
-9.336e+00,-0.004,-0.012,-8.2,-8.6
-9.332e+00,-0.004,0.004,-8.4,-8.2
-9.328e+00,-0,-0.012,-8.4,-8.6
-9.324e+00,-0.004,0.008,-8.4,-8.2
-9.320e+00,-0.004,-0.012,-8.4,-8.6
-9.316e+00,-0.004,0.004,-8.4,-8.2
