angle [deg]	counting rate [cps]
13.00	15.80
13.20	19.72
13.30	20.09
13.40	22.24
13.50	21.48
13.60	19.45
13.70	18.98
13.80	19.53
13.90	19.92
14.00	17.14
14.10	17.52
14.20	20.80
14.30	21.61
14.40	21.61
14.50	21.96
14.60	21.45
14.70	20.83
14.80	22.54
14.90	22.85
15.00	23.04
15.10	27.16
15.20	28.84
15.30	29.35
15.40	32.92
15.50	36.07
15.60	37.75
15.70	39.74
15.80	40.17
15.90	38.33
16.00	43.95
16.10	47.97
16.20	46.27
16.30	48.39
16.40	50.17
16.50	53.82
16.60	53.22
16.70	51.99
16.80	56.85
16.90	56.44
17.00	60.03
17.10	62.38
17.20	57.38
17.30	61.48
17.40	66.34
17.50	61.80
17.60	62.75
17.70	65.84
17.80	68.29
17.90	73.77
18.00	72.70
18.10	72.67
18.20	75.92
18.30	76.49
18.40	80.45
18.50	84.16
18.60	82.91
18.70	80.78
18.80	78.32
18.90	81.22
19.00	90.03
19.10	89.41
19.20	90.24
19.30	93.83
19.40	88.78
19.50	88.15
19.60	90.90
19.70	94.93
19.80	96.82
19.90	95.83
20.00	98.57
20.10	104.22
20.20	103.36
20.30	104.84
20.40	105.07
20.50	96.67
20.60	98.87
20.70	107.34
20.80	112.35
20.90	109.41
21.00	108.38
21.10	108.81
21.20	107.83
21.30	112.10
21.40	114.74
21.50	114.51
21.60	115.29
21.70	117.87
21.80	119.86
21.90	119.74
22.00	116.76
22.10	117.72
22.20	122.36
22.30	119.84
22.40	116.15
22.50	116.48
22.60	117.62
22.70	120.57
22.80	121.96
22.90	117.57
23.00	117.33
23.10	114.76
23.20	115.19
23.30	124.04
23.40	124.44
23.50	124.50
23.60	119.51
23.70	120.72
23.80	128.09
23.90	122.36
24.00	121.05
24.10	124.81
24.20	121.70
24.30	121.29
24.40	118.06
24.50	113.08
24.60	119.15
24.70	121.27
24.80	116.78
24.90	118.47
25.00	119.07
25.10	121.52
25.20	121.33
25.30	119.01
25.40	124.40
25.50	126.44
25.60	122.73
25.70	120.76
25.80	120.94
25.90	119.90
26.00	123.81
26.10	123.29
26.20	118.27
26.30	122.44
26.40	121.60
26.50	115.89
26.60	114.63
26.70	119.51
26.80	125.02
26.90	121.47
27.00	120.82
27.10	117.98
27.20	117.16
27.30	119.77
27.40	119.96
27.50	120.65
27.60	120.09
27.70	124.79
27.80	124.29
27.90	116.99
28.00	116.37
28.10	117.26
28.20	116.55
28.30	114.34
28.40	114.01
28.50	115.37
28.60	114.32
28.70	109.06
28.80	106.56
28.90	112.93
29.00	111.09
29.10	107.40
29.20	109.72
29.30	112.30
29.40	106.13
29.50	100.57
29.60	105.80
29.70	107.84
29.80	104.38
29.90	101.27
30.00	0.00
