Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.05,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.528e+00,0.202,0.226,0.268,0.272
-9.524e+00,0.202,0.18,0.268,0.26
-9.520e+00,0.202,0.218,0.268,0.272
-9.516e+00,0.202,0.182,0.268,0.256
-9.512e+00,0.202,0.224,0.268,0.276
-9.508e+00,0.202,0.176,0.268,0.26
-9.505e+00,0.202,0.226,0.268,0.276
-9.501e+00,0.202,0.176,0.268,0.26
-9.497e+00,0.202,0.226,0.268,0.276
-9.493e+00,0.202,0.184,0.268,0.26
-9.489e+00,0.202,0.222,0.272,0.28
-9.485e+00,0.202,0.182,0.268,0.26
-9.482e+00,0.202,0.224,0.272,0.276
-9.478e+00,0.202,0.176,0.272,0.26
-9.474e+00,0.202,0.226,0.272,0.28
-9.470e+00,0.202,0.184,0.268,0.264
-9.466e+00,0.202,0.218,0.272,0.276
-9.462e+00,0.204,0.176,0.272,0.264
-9.459e+00,0.204,0.226,0.272,0.276
-9.455e+00,0.202,0.182,0.272,0.264
-9.451e+00,0.204,0.226,0.272,0.28
-9.447e+00,0.202,0.184,0.272,0.264
-9.443e+00,0.204,0.22,0.272,0.28
-9.439e+00,0.204,0.178,0.272,0.264
-9.435e+00,0.204,0.226,0.272,0.28
-9.432e+00,0.204,0.174,0.272,0.264
-9.428e+00,0.204,0.228,0.272,0.28
-9.424e+00,0.204,0.184,0.272,0.268
-9.420e+00,0.204,0.226,0.276,0.28
-9.416e+00,0.204,0.184,0.276,0.268
-9.412e+00,0.204,0.222,0.276,0.28
-9.409e+00,0.204,0.178,0.276,0.268
-9.405e+00,0.204,0.226,0.276,0.284
-9.401e+00,0.204,0.176,0.276,0.268
-9.397e+00,0.204,0.228,0.276,0.284
-9.393e+00,0.204,0.186,0.276,0.268
-9.389e+00,0.204,0.22,0.276,0.284
-9.386e+00,0.204,0.182,0.276,0.272
-9.382e+00,0.204,0.224,0.276,0.284
-9.378e+00,0.204,0.182,0.276,0.268
-9.374e+00,0.204,0.224,0.276,0.288
-9.370e+00,0.204,0.176,0.28,0.272
-9.366e+00,0.204,0.228,0.276,0.284
-9.363e+00,0.204,0.178,0.28,0.272
-9.359e+00,0.204,0.228,0.28,0.284
-9.355e+00,0.204,0.178,0.28,0.268
-9.351e+00,0.204,0.228,0.28,0.292
-9.347e+00,0.204,0.184,0.28,0.26
-9.343e+00,0.204,0.226,0.28,0.292
-9.339e+00,0.204,0.184,0.28,0.272
-9.336e+00,0.204,0.222,0.28,0.288
-9.332e+00,0.204,0.178,0.28,0.272
-9.328e+00,0.204,0.228,0.28,0.288
-9.324e+00,0.204,0.176,0.28,0.272
-9.320e+00,0.204,0.23,0.28,0.288
-9.316e+00,0.204,0.188,0.284,0.272
-9.313e+00,0.204,0.222,0.284,0.292
-9.309e+00,0.204,0.186,0.284,0.276
-9.305e+00,0.204,0.226,0.284,0.288
-9.301e+00,0.206,0.178,0.284,0.276
-9.297e+00,0.204,0.228,0.284,0.288
-9.293e+00,0.206,0.176,0.28,0.276
-9.290e+00,0.204,0.23,0.284,0.292
-9.286e+00,0.204,0.182,0.284,0.276
-9.282e+00,0.206,0.226,0.284,0.292
-9.278e+00,0.206,0.186,0.284,0.28
-9.274e+00,0.206,0.228,0.284,0.292
-9.270e+00,0.206,0.18,0.284,0.28
-9.267e+00,0.206,0.23,0.284,0.292
-9.263e+00,0.206,0.19,0.288,0.28
-9.259e+00,0.206,0.22,0.284,0.292
-9.255e+00,0.206,0.178,0.288,0.28
-9.251e+00,0.206,0.23,0.288,0.292
-9.247e+00,0.206,0.186,0.288,0.28
-9.243e+00,0.206,0.226,0.288,0.296
-9.240e+00,0.206,0.188,0.288,0.28
-9.236e+00,0.206,0.224,0.288,0.296
-9.232e+00,0.206,0.18,0.288,0.28
-9.228e+00,0.206,0.228,0.288,0.296
-9.224e+00,0.206,0.178,0.288,0.284
-9.220e+00,0.206,0.23,0.288,0.296
-9.217e+00,0.206,0.186,0.288,0.284
-9.213e+00,0.206,0.226,0.288,0.3
-9.209e+00,0.206,0.188,0.292,0.28
-9.205e+00,0.206,0.226,0.292,0.3
-9.201e+00,0.206,0.184,0.292,0.284
-9.197e+00,0.206,0.228,0.292,0.296
-9.194e+00,0.206,0.178,0.292,0.28
-9.190e+00,0.206,0.23,0.292,0.304
-9.186e+00,0.206,0.188,0.292,0.284
-9.182e+00,0.206,0.222,0.292,0.3
-9.178e+00,0.206,0.18,0.292,0.284
-9.174e+00,0.206,0.228,0.292,0.3
-9.171e+00,0.206,0.188,0.296,0.284
-9.167e+00,0.206,0.23,0.292,0.3
-9.163e+00,0.208,0.186,0.296,0.284
-9.159e+00,0.208,0.226,0.296,0.304
-9.155e+00,0.206,0.18,0.296,0.284
-9.151e+00,0.208,0.23,0.296,0.304
-9.147e+00,0.206,0.18,0.292,0.288
-9.144e+00,0.206,0.232,0.296,0.3
-9.140e+00,0.206,0.188,0.296,0.288
-9.136e+00,0.208,0.228,0.296,0.304
-9.132e+00,0.206,0.188,0.296,0.288
-9.128e+00,0.208,0.226,0.296,0.304
-9.124e+00,0.208,0.182,0.296,0.292
-9.121e+00,0.208,0.232,0.296,0.304
-9.117e+00,0.206,0.18,0.296,0.292
-9.113e+00,0.208,0.232,0.296,0.304
-9.109e+00,0.208,0.188,0.296,0.292
-9.105e+00,0.208,0.224,0.296,0.304
-9.101e+00,0.208,0.188,0.3,0.292
-9.098e+00,0.208,0.23,0.3,0.304
